trip_id,rider_id,driver_id,pickup_location_id,dropoff_location_id,requested_at,started_at,completed_at,status,distance_km,duration_mins,base_fare,surge_multiplier,total_fare,payment_method,hour,day_of_week,month,year,is_weekend,wait_time_mins,fare_per_km,surge_tier
56,6,27,25,23,12/3/2023 13:14,12/3/2023 13:24,12/3/2023 13:32,completed,4.96,8,9.56,1,9.56,card,13,Sunday,2023-12,2023,TRUE,10,1.927419355,No Surge
57,6,285,25,23,1/22/2023 3:53,1/22/2023 3:56,1/22/2023 4:02,completed,4.69,6,8.86,1,8.86,wallet,3,Sunday,2023-01,2023,TRUE,3,1.8891258,No Surge
58,6,178,36,35,6/5/2024 20:51,6/5/2024 20:56,6/5/2024 21:13,completed,8.84,17,15.62,1,15.62,card,20,Wednesday,2024-06,2024,FALSE,5,1.766968326,No Surge
59,6,114,34,40,10/12/2022 15:06,10/12/2022 15:13,10/12/2022 15:50,completed,22.98,37,35.18,1,35.18,wallet,15,Wednesday,2022-10,2022,FALSE,7,1.530896432,No Surge
60,6,38,14,11,1/18/2024 19:57,1/18/2024 20:02,1/18/2024 20:42,completed,27.25,40,40.48,2.44,98.77,card,19,Thursday,2024-01,2024,FALSE,5,3.624587156,High Surge
61,6,20,34,37,4/27/2023 22:04,4/27/2023 22:07,4/27/2023 22:41,completed,23.45,34,35.09,1,35.09,cash,22,Thursday,2023-04,2023,FALSE,3,1.496375267,No Surge
62,6,10,40,39,8/5/2023 11:13,8/5/2023 11:18,8/5/2023 12:04,completed,29.5,46,44.15,1,44.15,cash,11,Saturday,2023-08,2023,TRUE,5,1.496610169,No Surge
64,6,132,8,1,2/19/2023 10:01,2/19/2023 10:13,2/19/2023 10:16,completed,1.37,3,4.61,1,4.61,wallet,10,Sunday,2023-02,2023,TRUE,12,3.364963504,No Surge
65,7,272,6,7,4/20/2023 15:40,4/20/2023 15:43,4/20/2023 15:48,completed,2.44,5,6.18,1,6.18,card,15,Thursday,2023-04,2023,FALSE,3,2.532786885,No Surge
66,7,131,39,31,1/26/2024 11:06,1/26/2024 11:16,1/26/2024 11:46,completed,30.91,30,42.5,1,42.5,wallet,11,Friday,2024-01,2024,FALSE,10,1.37495956,No Surge
67,7,389,36,31,6/27/2023 14:43,6/27/2023 14:48,6/27/2023 15:32,completed,29.16,44,43.38,1,43.38,card,14,Tuesday,2023-06,2023,FALSE,5,1.487654321,No Surge
68,7,249,18,12,6/2/2023 13:54,6/2/2023 14:03,6/2/2023 14:34,completed,14.28,31,24.41,1,24.41,cash,13,Friday,2023-06,2023,FALSE,9,1.709383754,No Surge
69,7,178,34,33,3/10/2024 22:01,3/10/2024 22:13,3/10/2024 22:26,completed,9.85,13,15.94,1,15.94,cash,22,Sunday,2024-03,2024,TRUE,12,1.618274112,No Surge
70,7,47,27,23,4/26/2022 15:04,4/26/2022 15:16,4/26/2022 16:04,completed,30.25,48,45.38,1,45.38,card,15,Tuesday,2022-04,2022,FALSE,12,1.500165289,No Surge
71,7,129,31,38,11/9/2023 0:29,11/9/2023 0:32,11/9/2023 1:15,completed,38.69,43,53.66,1,53.66,wallet,0,Thursday,2023-11,2023,FALSE,3,1.386921685,No Surge
72,7,267,9,6,10/15/2023 11:44,10/15/2023 11:55,10/15/2023 12:00,completed,4.05,5,7.96,1,7.96,cash,11,Sunday,2023-10,2023,TRUE,11,1.965432099,No Surge
73,7,11,9,1,2/28/2022 22:34,2/28/2022 22:37,2/28/2022 22:43,completed,2.77,6,6.75,1,6.75,wallet,22,Monday,2022-02,2022,FALSE,3,2.436823105,No Surge
74,7,89,13,18,3/8/2024 14:35,3/8/2024 14:45,3/8/2024 15:28,completed,16.91,43,29.7,1.42,42.17,wallet,14,Friday,2024-03,2024,FALSE,10,2.493790656,Low Surge
76,7,143,7,10,3/13/2022 1:31,3/13/2022 1:38,3/13/2022 2:06,completed,18.32,28,28.25,1,28.25,wallet,1,Sunday,2022-03,2022,TRUE,7,1.542030568,No Surge
78,7,288,39,32,3/28/2023 2:16,3/28/2023 2:25,3/28/2023 2:40,completed,6.75,15,12.93,1,12.93,cash,2,Tuesday,2023-03,2023,FALSE,9,1.915555556,No Surge
79,7,210,1,9,12/11/2022 18:42,12/11/2022 18:44,12/11/2022 18:55,completed,4.46,11,9.61,1,9.61,wallet,18,Sunday,2022-12,2022,TRUE,2,2.15470852,No Surge
80,7,151,5,6,3/18/2023 6:21,3/18/2023 6:32,3/18/2023 6:44,completed,8.35,12,14.09,1,14.09,wallet,6,Saturday,2023-03,2023,TRUE,11,1.68742515,No Surge
81,7,15,7,9,3/11/2024 4:24,3/11/2024 4:32,3/11/2024 4:56,completed,7.11,24,15.12,1,15.12,card,4,Monday,2024-03,2024,FALSE,8,2.126582278,No Surge
82,8,33,25,26,11/1/2023 16:50,11/1/2023 16:52,11/1/2023 17:34,completed,27.55,42,41.21,1,41.21,cash,16,Wednesday,2023-11,2023,FALSE,2,1.495825771,No Surge
84,8,216,16,17,5/30/2023 14:52,5/30/2023 14:57,5/30/2023 15:06,completed,3.14,9,7.75,1,7.75,wallet,14,Tuesday,2023-05,2023,FALSE,5,2.468152866,No Surge
85,9,83,7,8,5/15/2024 14:16,5/15/2024 14:25,5/15/2024 14:31,completed,2.65,6,6.62,1,6.62,cash,14,Wednesday,2024-05,2024,FALSE,9,2.498113208,No Surge
86,9,272,1,2,8/12/2022 0:57,8/12/2022 1:03,8/12/2022 1:36,completed,28.42,33,40.36,2.93,118.25,cash,0,Friday,2022-08,2022,FALSE,6,4.160802252,High Surge
87,9,137,31,36,4/5/2023 11:45,4/5/2023 11:56,4/5/2023 12:53,completed,31.79,57,48.87,1,48.87,wallet,11,Wednesday,2023-04,2023,FALSE,11,1.537275873,No Surge
90,10,234,25,24,5/2/2023 0:41,5/2/2023 0:45,5/2/2023 1:22,completed,25.87,37,38.36,1,38.36,wallet,0,Tuesday,2023-05,2023,FALSE,4,1.482798608,No Surge
92,10,203,24,26,6/4/2022 23:55,6/5/2022 0:05,6/5/2022 0:40,completed,20.12,35,31.63,2.01,63.58,cash,23,Saturday,2022-06,2022,TRUE,10,3.160039761,High Surge
93,10,255,1,3,7/17/2022 21:37,7/17/2022 21:42,7/17/2022 22:21,completed,15.37,39,27.21,1,27.21,cash,21,Sunday,2022-07,2022,TRUE,5,1.770331815,No Surge
95,11,337,33,39,1/19/2022 14:21,1/19/2022 14:28,1/19/2022 14:31,completed,2.43,3,5.77,1,5.77,card,14,Wednesday,2022-01,2022,FALSE,7,2.374485597,No Surge
96,12,90,13,18,3/29/2024 23:36,3/29/2024 23:46,3/30/2024 0:12,completed,14.78,26,23.96,2.38,57.02,card,23,Friday,2024-03,2024,FALSE,10,3.857916103,High Surge
98,12,65,15,19,8/20/2022 17:39,8/20/2022 17:45,8/20/2022 17:50,completed,4.29,5,8.22,1,8.22,cash,17,Saturday,2022-08,2022,TRUE,6,1.916083916,No Surge
100,12,154,27,30,7/9/2022 4:25,7/9/2022 4:31,7/9/2022 4:57,completed,17.93,26,27.42,1,27.42,cash,4,Saturday,2022-07,2022,TRUE,6,1.529280535,No Surge
101,12,33,25,28,5/24/2022 17:12,5/24/2022 17:22,5/24/2022 17:33,completed,10.73,11,16.5,2.72,44.88,wallet,17,Tuesday,2022-05,2022,FALSE,10,4.182665424,High Surge
102,12,49,36,37,8/11/2022 3:58,8/11/2022 4:04,8/11/2022 4:55,completed,27.69,51,43.16,1,43.16,card,3,Thursday,2022-08,2022,FALSE,6,1.558685446,No Surge
104,12,255,5,1,6/15/2023 23:27,6/15/2023 23:30,6/15/2023 23:50,completed,8.77,20,16.15,1,16.15,wallet,23,Thursday,2023-06,2023,FALSE,3,1.841505131,No Surge
105,12,270,25,28,3/1/2022 21:20,3/1/2022 21:30,3/1/2022 21:59,completed,9.43,29,18.67,1,18.67,cash,21,Tuesday,2022-03,2022,FALSE,10,1.979851538,No Surge
106,12,185,15,19,12/14/2023 16:14,12/14/2023 16:24,12/14/2023 16:31,completed,3.46,7,7.71,1,7.71,cash,16,Thursday,2023-12,2023,FALSE,10,2.228323699,No Surge
107,12,112,18,13,8/25/2022 20:21,8/25/2022 20:30,8/25/2022 20:47,completed,15.13,17,22.54,1,22.54,cash,20,Thursday,2022-08,2022,FALSE,9,1.489755453,No Surge
108,12,12,14,18,2/17/2023 11:28,2/17/2023 11:34,2/17/2023 12:36,completed,21.18,62,38.2,1,38.2,cash,11,Friday,2023-02,2023,FALSE,6,1.803588291,No Surge
109,12,2,24,30,6/15/2022 12:11,6/15/2022 12:16,6/15/2022 12:35,completed,16.62,19,24.58,1,24.58,cash,12,Wednesday,2022-06,2022,FALSE,5,1.478941035,No Surge
110,12,383,2,1,8/22/2023 13:20,8/22/2023 13:22,8/22/2023 14:14,completed,24.01,52,39.31,1,39.31,card,13,Tuesday,2023-08,2023,FALSE,2,1.637234486,No Surge
111,13,373,19,11,6/25/2023 2:33,6/25/2023 2:42,6/25/2023 3:32,completed,33.67,50,49.54,1,49.54,card,2,Sunday,2023-06,2023,TRUE,9,1.471339471,No Surge
112,14,32,19,20,9/23/2023 18:30,9/23/2023 18:42,9/23/2023 18:52,completed,7.1,10,12.31,1,12.31,card,18,Saturday,2023-09,2023,TRUE,12,1.733802817,No Surge
113,14,159,5,1,4/6/2022 10:22,4/6/2022 10:28,4/6/2022 10:39,completed,7.54,11,12.99,1,12.99,wallet,10,Wednesday,2022-04,2022,FALSE,6,1.722811671,No Surge
114,14,153,30,29,2/26/2023 22:52,2/26/2023 23:02,2/27/2023 0:14,completed,28.21,72,47.93,1,47.93,card,22,Sunday,2023-02,2023,TRUE,10,1.699042893,No Surge
115,14,11,1,8,12/29/2023 20:15,12/29/2023 20:17,12/29/2023 20:20,completed,1.21,3,4.43,1,4.43,cash,20,Friday,2023-12,2023,FALSE,2,3.661157025,No Surge
116,14,240,34,31,11/21/2023 23:09,11/21/2023 23:19,11/21/2023 23:48,completed,33.02,29,44.62,1,44.62,cash,23,Tuesday,2023-11,2023,FALSE,10,1.351302241,No Surge
117,14,330,1,5,2/6/2022 16:50,2/6/2022 16:54,2/6/2022 17:15,completed,9.84,21,17.52,1,17.52,cash,16,Sunday,2022-02,2022,TRUE,4,1.780487805,No Surge
118,14,136,10,7,11/27/2023 12:54,11/27/2023 13:00,11/27/2023 13:35,completed,14.18,35,25.1,1,25.1,cash,12,Monday,2023-11,2023,FALSE,6,1.770098731,No Surge
119,14,394,26,23,12/22/2022 10:43,12/22/2022 10:54,12/22/2022 11:50,completed,36.67,56,54.04,1,54.04,cash,10,Thursday,2022-12,2022,FALSE,11,1.473684211,No Surge
120,14,99,31,35,6/28/2024 19:13,6/28/2024 19:24,6/28/2024 20:29,completed,30.16,65,48.68,2.11,102.71,wallet,19,Friday,2024-06,2024,FALSE,11,3.405503979,High Surge
121,14,158,32,40,1/12/2024 23:03,1/12/2024 23:15,1/13/2024 0:47,completed,41.47,92,66.52,1.82,121.07,cash,23,Friday,2024-01,2024,FALSE,12,2.91945985,High Surge
122,14,304,33,35,2/26/2024 22:10,2/26/2024 22:19,2/26/2024 22:47,completed,11.86,28,21.15,1,21.15,cash,22,Monday,2024-02,2024,FALSE,9,1.783305228,No Surge
123,14,335,17,16,1/14/2023 10:06,1/14/2023 10:17,1/14/2023 10:24,completed,2.95,7,7.15,1,7.15,cash,10,Saturday,2023-01,2023,TRUE,11,2.423728814,No Surge
124,14,281,14,15,6/14/2024 13:44,6/14/2024 13:49,6/14/2024 14:44,completed,25.08,55,41.09,1,41.09,card,13,Friday,2024-06,2024,FALSE,5,1.638357257,No Surge
126,14,48,33,36,2/8/2022 1:20,2/8/2022 1:28,2/8/2022 1:46,completed,12.77,18,20.15,1,20.15,cash,1,Tuesday,2022-02,2022,FALSE,8,1.577916993,No Surge
127,14,163,37,34,4/11/2024 6:31,4/11/2024 6:42,4/11/2024 7:13,completed,19.48,31,30.13,1,30.13,wallet,6,Thursday,2024-04,2024,FALSE,11,1.546714579,No Surge
128,14,260,6,8,1/8/2022 14:46,1/8/2022 14:51,1/8/2022 14:54,completed,0.76,3,3.94,1,3.94,card,14,Saturday,2022-01,2022,TRUE,5,5.184210526,No Surge
129,14,288,37,40,8/23/2022 10:32,8/23/2022 10:39,8/23/2022 11:42,completed,37.75,63,56.63,1,56.63,cash,10,Tuesday,2022-08,2022,FALSE,7,1.50013245,No Surge
130,14,11,3,7,3/25/2022 6:12,3/25/2022 6:14,3/25/2022 6:44,completed,15.48,30,25.53,1,25.53,card,6,Friday,2022-03,2022,FALSE,2,1.649224806,No Surge
131,14,270,21,22,5/23/2023 12:22,5/23/2023 12:30,5/23/2023 12:59,completed,19,29,29.2,1,29.2,wallet,12,Tuesday,2023-05,2023,FALSE,8,1.536842105,No Surge
132,14,104,25,30,3/9/2024 21:22,3/9/2024 21:25,3/9/2024 22:46,completed,31.4,81,53.24,1.37,72.94,card,21,Saturday,2024-03,2024,TRUE,3,2.322929936,Low Surge
133,14,265,14,19,4/16/2023 14:59,4/16/2023 15:11,4/16/2023 16:12,completed,25.01,61,42.21,1,42.21,wallet,14,Sunday,2023-04,2023,TRUE,12,1.68772491,No Surge
134,14,377,19,17,1/13/2024 15:47,1/13/2024 15:51,1/13/2024 15:54,completed,1.51,3,4.76,1,4.76,wallet,15,Saturday,2024-01,2024,TRUE,4,3.152317881,No Surge
136,14,307,9,3,8/6/2022 0:44,8/6/2022 0:46,8/6/2022 1:16,completed,19.11,30,29.52,2.29,67.6,cash,0,Saturday,2022-08,2022,TRUE,2,3.537414966,High Surge
139,14,179,31,34,8/17/2022 21:18,8/17/2022 21:23,8/17/2022 21:52,completed,39.8,29,52.08,1,52.08,wallet,21,Wednesday,2022-08,2022,FALSE,5,1.308542714,No Surge
140,14,72,16,13,4/9/2024 0:17,4/9/2024 0:21,4/9/2024 0:36,completed,9.12,15,15.53,1,15.53,card,0,Tuesday,2024-04,2024,FALSE,4,1.702850877,No Surge
141,15,154,30,24,12/18/2023 6:52,12/18/2023 7:03,12/18/2023 7:23,completed,15.18,20,23.2,1,23.2,card,6,Monday,2023-12,2023,FALSE,11,1.528326746,No Surge
142,16,128,40,37,2/4/2023 15:27,2/4/2023 15:33,2/4/2023 16:31,completed,37.54,58,55.39,1,55.39,wallet,15,Saturday,2023-02,2023,TRUE,6,1.475492808,No Surge
143,16,254,19,17,2/28/2024 1:21,2/28/2024 1:24,2/28/2024 1:27,completed,2.26,3,5.59,1,5.59,card,1,Wednesday,2024-02,2024,FALSE,3,2.473451327,No Surge
144,16,19,15,11,3/18/2024 9:12,3/18/2024 9:14,3/18/2024 10:10,completed,25.1,56,41.31,1,41.31,cash,9,Monday,2024-03,2024,FALSE,2,1.645816733,No Surge
145,16,281,20,11,8/27/2023 18:09,8/27/2023 18:13,8/27/2023 19:11,completed,25.39,58,42.03,1,42.03,card,18,Sunday,2023-08,2023,TRUE,4,1.655376132,No Surge
146,16,367,10,2,8/25/2022 0:53,8/25/2022 0:55,8/25/2022 1:37,completed,22.13,42,35.24,1,35.24,cash,0,Thursday,2022-08,2022,FALSE,2,1.592408495,No Surge
147,16,68,7,3,9/9/2023 11:09,9/9/2023 11:17,9/9/2023 11:55,completed,22.25,38,34.58,1,34.58,cash,11,Saturday,2023-09,2023,TRUE,8,1.554157303,No Surge
148,16,29,11,13,5/12/2023 6:53,5/12/2023 7:00,5/12/2023 8:02,completed,26.79,62,44.37,1,44.37,card,6,Friday,2023-05,2023,FALSE,7,1.656215006,No Surge
149,16,287,40,34,7/12/2023 16:36,7/12/2023 16:45,7/12/2023 17:54,completed,34.81,69,54.59,1,54.59,card,16,Wednesday,2023-07,2023,FALSE,9,1.568227521,No Surge
150,16,103,28,25,5/13/2022 13:38,5/13/2022 13:41,5/13/2022 13:54,completed,7.57,13,13.43,1,13.43,card,13,Friday,2022-05,2022,FALSE,3,1.774108322,No Surge
151,16,284,17,13,7/6/2023 16:48,7/6/2023 16:56,7/6/2023 17:10,completed,6.87,14,12.86,1,12.86,wallet,16,Thursday,2023-07,2023,FALSE,8,1.871906841,No Surge
152,16,120,23,24,11/20/2022 2:35,11/20/2022 2:37,11/20/2022 3:25,completed,30.19,48,45.31,1,45.31,wallet,2,Sunday,2022-11,2022,TRUE,2,1.500828089,No Surge
153,16,375,13,20,9/16/2022 1:42,9/16/2022 1:54,9/16/2022 1:57,completed,2.6,3,5.96,2.27,13.53,card,1,Friday,2022-09,2022,FALSE,12,5.203846154,High Surge
154,17,318,31,38,3/21/2024 10:28,3/21/2024 10:38,3/21/2024 11:13,completed,37.59,35,50.85,1,50.85,cash,10,Thursday,2024-03,2024,FALSE,10,1.352753392,No Surge
155,17,393,15,19,6/27/2023 1:15,6/27/2023 1:19,6/27/2023 1:22,completed,3.39,3,6.83,1,6.83,card,1,Tuesday,2023-06,2023,FALSE,4,2.014749263,No Surge
156,17,224,23,29,1/1/2024 1:23,1/1/2024 1:29,1/1/2024 3:13,completed,39.39,104,66.63,1,66.63,card,1,Monday,2024-01,2024,FALSE,6,1.691546078,No Surge
157,18,254,16,12,9/1/2022 21:45,9/1/2022 21:56,9/1/2022 22:02,completed,2.39,6,6.33,1,6.33,card,21,Thursday,2022-09,2022,FALSE,11,2.648535565,No Surge
158,18,380,2,1,3/8/2024 8:00,3/8/2024 8:03,3/8/2024 9:02,completed,27.96,59,45.06,2.65,119.41,card,8,Friday,2024-03,2024,FALSE,3,4.27074392,High Surge
159,18,177,33,34,3/16/2022 0:45,3/16/2022 0:47,3/16/2022 1:12,completed,7.43,25,15.67,1,15.67,card,0,Wednesday,2022-03,2022,FALSE,2,2.109017497,No Surge
160,18,61,39,34,1/5/2022 9:09,1/5/2022 9:14,1/5/2022 9:23,completed,6.51,9,11.46,1,11.46,card,9,Wednesday,2022-01,2022,FALSE,5,1.760368664,No Surge
161,18,232,17,20,8/8/2022 21:12,8/8/2022 21:22,8/8/2022 21:33,completed,5.98,11,11.28,1,11.28,cash,21,Monday,2022-08,2022,FALSE,10,1.886287625,No Surge
