rider_id,user_id,rating,total_trips,created_at
46,913,4.02,1,2021-06-10 03:07:53
47,1290,4.33,18,2020-12-13 05:16:08
48,1694,4.14,7,2023-01-11 04:42:04
49,138,4.31,2,2022-04-14 14:55:10
50,1546,3.13,1,2021-05-10 03:20:47
51,108,4.58,1,2019-05-20 21:53:54
52,536,3.72,3,2021-02-20 03:45:37
53,1429,4.14,1,2020-06-25 11:15:02
54,1164,4.87,16,2019-07-29 01:42:50
55,1257,3.74,19,2022-08-23 02:52:15
56,1066,4.95,1,2021-04-11 14:46:56
57,1990,3.14,1,2023-10-26 04:54:10
58,1720,4.53,3,2021-11-29 05:50:27
59,73,3.66,1,2021-04-23 21:23:40
60,702,3.03,20,2019-10-11 17:36:34
61,872,4.15,6,2022-03-14 02:44:49
62,1269,4.18,4,2020-10-19 04:04:17
63,170,4.18,0,2022-11-01 18:30:16
64,1909,4.09,4,2022-01-16 11:58:29
65,622,4.61,4,2019-07-07 00:41:51
66,1549,3.95,10,2019-01-02 15:21:56
67,1186,4.62,89,2019-02-26 10:07:11
68,738,3.51,44,2022-09-12 05:53:06
69,1924,4.95,16,2019-02-16 07:41:26
70,902,3.14,1,2023-03-22 10:09:53
71,264,3.19,67,2019-10-07 00:22:31
72,1635,3.3,1,2019-08-16 17:01:05
73,756,4.88,22,2023-11-11 19:37:06
74,567,3.49,1,2022-08-28 22:51:37
75,359,4.81,1,2024-04-11 05:14:00
76,1784,3.81,14,2023-07-11 19:19:34
77,35,4.13,15,2022-11-11 05:28:37
78,820,3.81,1,2023-10-26 17:26:56
79,1122,4.91,25,2023-01-14 10:14:26
80,1118,3.43,6,2020-05-27 13:19:47
81,48,3.85,4,2023-02-12 08:09:56
82,1627,3.46,1,2024-02-14 04:03:26
83,1024,4.97,15,2020-07-29 22:30:31
84,1034,3.26,8,2022-04-24 20:01:30
85,1007,4.35,2,2019-03-29 23:34:15
86,1719,3.92,67,2021-11-19 14:32:15
87,616,4.39,3,2023-07-06 22:49:26
88,618,4.07,1,2023-01-16 06:04:26
89,1957,4.3,39,2022-07-30 00:03:35
90,1273,3.7,1,2024-06-03 08:10:18
91,972,4.87,4,2024-05-14 08:10:30
92,952,4.37,1,2021-08-17 07:21:54
93,22,3.41,1,2024-02-16 06:26:52
94,1351,3.18,3,2022-04-02 13:13:37
95,828,3.66,2,2020-08-08 06:20:25
96,561,3.06,5,2023-05-12 06:20:11
97,303,4.34,2,2023-12-02 11:05:22
98,499,4.27,1,2020-07-18 11:42:51
99,424,3.47,61,2020-03-25 15:58:45
100,546,3.09,1,2020-01-12 02:14:43
101,1078,4.17,4,2021-12-29 12:59:50
102,1364,4.68,22,2021-12-20 15:11:16
103,525,3.97,1,2022-03-20 19:51:30
104,1285,3.54,1,2021-05-28 14:13:22
105,654,4.13,1,2022-11-18 00:53:37
106,437,4.6,15,2021-06-01 15:27:54
107,773,3.96,1,2019-06-05 03:55:14
108,1613,3.0,4,2022-07-31 13:57:39
109,342,4.94,1,2022-12-13 10:16:20
110,1436,3.79,1,2021-08-18 14:38:26
111,1516,4.09,3,2022-09-14 07:13:16
112,1432,3.99,2,2021-07-14 01:23:33
113,751,4.14,3,2024-01-17 15:41:12
114,958,3.9,2,2021-08-19 14:42:00
115,1059,4.77,1,2019-10-04 14:19:32
116,1770,3.84,37,2020-09-17 10:29:05
117,317,3.77,3,2021-12-15 19:51:27
118,344,3.85,3,2019-04-15 22:25:32
119,901,3.51,12,2021-10-24 05:15:06
120,1681,3.07,18,2022-06-17 14:12:02
121,1665,3.49,6,2021-09-04 20:19:19
122,45,4.4,1,2023-01-01 01:06:36
123,1944,3.4,69,2024-01-04 12:49:50
124,1079,4.48,2,2021-04-26 07:35:12
125,74,4.13,39,2024-03-30 06:29:33
126,799,3.37,0,2022-12-13 20:24:08
127,1682,3.88,3,2019-12-08 11:28:49
128,1137,4.77,1,2023-10-23 17:42:50
129,294,4.3,9,2020-03-02 17:47:44
130,1888,4.14,3,2022-03-27 02:33:18
131,1169,3.45,2,2020-10-01 16:10:14
132,1679,3.1,0,2022-02-26 12:54:40
133,1791,4.19,4,2019-01-25 17:19:09
134,1753,3.36,2,2021-12-22 16:20:13
135,1057,3.22,1,2023-07-02 14:18:25
136,836,3.32,21,2022-07-08 18:41:37
137,1392,4.35,3,2022-08-18 07:06:00
138,644,3.6,5,2019-09-01 11:10:42
139,603,4.71,1,2024-03-22 21:14:13
140,1322,3.58,1,2023-06-18 15:03:56
141,1008,4.24,1,2023-10-05 14:08:15
142,613,4.68,21,2021-11-08 01:10:34
143,1857,4.22,2,2021-12-19 07:32:07
144,780,4.85,1,2022-07-10 02:09:47
145,1652,4.31,1,2021-02-09 13:14:25
146,1804,3.6,12,2021-10-23 12:58:28
147,1711,4.51,0,2021-06-26 17:01:11
148,266,4.49,1,2021-08-13 00:46:31
149,1171,4.42,33,2019-08-15 18:49:18
150,234,4.58,1,2021-08-06 16:44:02
151,1988,4.22,16,2022-05-13 20:15:09
152,1793,4.14,15,2024-02-18 22:46:35
153,960,4.18,2,2024-03-02 07:34:18
154,345,3.48,1,2021-03-14 01:34:06
155,1276,3.55,4,2022-11-01 20:49:30
156,68,3.57,5,2023-11-22 05:08:08
157,1488,4.76,2,2022-06-27 13:41:26
158,346,3.53,86,2023-06-22 16:19:09
159,1049,4.52,4,2023-10-11 01:49:46
160,183,3.34,2,2020-11-28 14:04:44
161,30,3.1,3,2021-10-16 15:28:17
162,1837,4.0,36,2020-02-03 15:01:02
163,181,4.21,55,2023-01-22 01:47:19
164,1819,4.45,2,2020-11-09 22:30:01
165,1058,4.98,1,2023-07-15 12:40:41
166,1247,4.29,49,2023-06-11 23:50:44
167,890,4.17,17,2021-04-17 15:29:01
168,53,3.2,2,2020-05-04 22:28:00
169,1714,3.21,1,2019-01-25 18:44:26
170,1806,5.0,4,2023-11-10 01:21:51
171,935,3.89,5,2019-07-10 03:41:47
172,579,4.38,2,2019-12-24 17:43:25
173,752,4.72,0,2019-05-15 16:32:21
174,1695,3.96,10,2021-07-25 06:55:29
175,517,4.8,2,2023-05-31 03:32:23
176,1656,3.7,1,2021-06-10 21:08:53
177,1641,4.26,20,2022-07-06 12:29:27
178,1593,3.74,29,2023-01-08 08:55:28
179,72,4.6,1,2020-02-14 20:02:53
180,1046,4.72,28,2020-01-26 09:57:33
181,219,3.07,4,2019-02-01 13:37:57
182,71,3.09,3,2021-05-14 03:26:50
183,135,4.13,2,2021-08-03 16:42:54
184,1610,3.76,2,2019-07-19 02:46:10
185,481,3.3,4,2024-03-13 02:52:12
186,915,3.45,4,2019-06-19 15:50:36
187,269,4.65,12,2020-03-15 10:10:06
188,684,4.79,3,2022-01-10 08:14:44
189,764,3.21,1,2019-12-23 16:00:52
190,548,3.41,4,2022-12-04 17:46:01
191,911,3.67,3,2022-05-07 12:10:01
192,672,4.73,2,2023-07-01 19:34:36
193,819,4.41,1,2022-05-01 16:17:02
194,1014,3.38,22,2023-12-15 07:11:02
195,78,3.67,18,2023-01-04 10:39:01
196,1090,4.93,1,2023-09-22 11:55:41
197,1480,4.88,22,2019-09-03 01:48:56
198,1918,4.85,3,2024-03-08 14:25:00
199,735,3.44,1,2019-08-02 16:55:53
200,573,3.52,3,2022-01-25 00:32:45
201,221,4.11,24,2020-08-10 16:14:16
202,649,3.52,0,2021-10-13 17:58:54
203,321,3.79,1,2020-11-18 12:22:28
204,1542,3.17,82,2020-11-23 06:50:00
205,1239,4.87,3,2023-09-08 01:24:36
206,1439,3.74,5,2020-09-27 23:48:15
207,1228,3.59,1,2020-07-24 07:45:39
208,1138,3.38,1,2022-06-19 17:37:26
209,944,3.32,1,2020-02-26 16:54:05
210,1368,3.07,3,2021-02-11 13:30:39
211,527,3.39,1,2022-11-22 11:06:40
212,415,3.59,10,2021-04-03 17:00:49
213,870,3.81,0,2019-12-01 20:45:58
214,529,3.04,0,2020-12-21 18:28:48
215,841,4.33,25,2023-12-06 06:35:35
216,152,3.83,4,2022-05-16 02:10:22
217,1676,4.56,11,2023-08-06 13:37:15
218,537,4.66,38,2019-04-12 12:01:02
219,1589,4.1,7,2021-09-01 22:04:11
220,1631,4.42,13,2020-03-13 15:54:04
221,943,4.14,2,2021-05-21 17:32:40
222,721,3.76,1,2023-12-15 23:19:17
223,855,4.92,4,2020-04-20 07:48:31
224,1434,4.77,1,2019-10-06 14:19:23
225,1521,4.29,0,2023-02-22 23:23:23
226,1692,3.88,1,2021-06-07 17:09:49
227,189,3.13,1,2021-03-29 15:40:59
228,1261,3.38,0,2019-04-27 15:10:33
229,1340,3.6,1,2021-09-16 15:50:15
230,565,3.12,12,2020-12-10 13:18:48
231,729,4.07,6,2022-02-13 00:37:23
232,1240,4.89,16,2020-05-22 13:42:53
233,578,3.32,1,2023-10-04 00:21:53
234,398,4.22,3,2021-05-20 22:59:18
235,606,3.84,1,2021-11-17 04:29:34
236,1789,3.36,1,2021-11-12 07:41:47
237,713,4.46,13,2020-05-10 11:55:06
238,1661,3.4,4,2020-02-19 16:44:03
239,1801,4.04,3,2020-04-21 08:13:09
240,1389,4.25,0,2020-12-27 07:23:14
241,670,3.02,1,2019-02-20 11:04:13
242,694,3.27,76,2022-05-31 17:03:30
243,1747,4.15,55,2019-12-01 22:40:56
244,1925,3.43,2,2019-01-31 22:43:58
245,781,3.46,22,2020-11-12 20:05:34
246,1902,3.39,1,2022-06-22 12:25:08
247,480,3.94,1,2019-07-30 09:37:47
248,1997,4.47,5,2020-01-17 16:47:15
249,355,4.34,3,2022-08-22 01:18:40
250,955,4.57,67,2022-02-08 15:17:35
251,1086,4.87,1,2019-02-03 06:18:34
252,827,3.88,1,2022-08-19 05:35:49
253,1851,3.28,1,2023-01-26 07:12:13
254,1611,4.22,7,2021-12-15 06:02:33
255,107,4.5,1,2021-09-06 06:10:23
256,1316,3.5,13,2019-06-26 01:17:19
257,737,3.35,1,2024-06-16 20:43:01
258,1942,3.74,3,2019-06-24 03:23:38
259,184,3.16,4,2020-06-21 14:54:48
260,642,4.82,1,2023-12-13 08:16:37
261,1726,4.11,13,2021-03-13 13:22:19
262,837,4.63,2,2020-06-14 02:53:43
263,1025,3.47,5,2020-11-04 12:38:52
264,1938,3.54,1,2020-02-14 12:27:54
265,1615,3.09,3,2023-08-06 07:01:15
266,487,3.59,64,2019-07-31 14:00:22
267,1223,4.89,9,2023-12-12 17:50:47
268,1469,4.62,1,2019-02-20 21:47:35
269,1852,3.18,87,2020-05-21 13:27:41
270,1522,4.92,1,2020-02-16 08:39:53
271,1982,3.59,4,2022-03-05 19:15:24
272,1809,3.12,13,2022-07-08 23:17:32
273,1294,4.83,9,2021-03-15 12:13:37
274,1156,4.32,5,2023-08-25 19:20:57
275,1234,3.93,5,2019-11-12 15:07:14
276,1579,4.66,57,2023-01-19 18:32:13
277,1307,4.28,5,2023-03-19 12:12:35
278,1951,3.64,3,2021-03-20 04:34:03
279,367,3.83,2,2024-04-17 09:56:45
280,1829,4.57,12,2024-02-10 08:56:42
281,1212,4.87,1,2020-07-22 04:16:39
282,1092,4.85,82,2019-06-05 11:43:59
283,245,3.77,1,2024-06-10 20:20:43
284,745,4.08,0,2023-07-26 20:25:09
285,767,4.74,2,2022-10-01 05:26:22
286,535,3.31,2,2022-12-28 15:10:29
287,637,4.26,1,2021-11-20 17:20:39
288,325,4.01,1,2019-07-19 02:49:23
289,1493,3.36,1,2021-09-10 19:43:27
290,1115,4.2,3,2023-12-23 07:47:11
291,835,4.56,1,2021-12-02 09:59:12
292,1664,3.77,48,2023-07-17 09:15:32
293,160,3.56,1,2021-03-02 09:28:59
294,23,4.83,15,2020-04-03 01:23:28
295,521,4.89,15,2023-02-17 07:06:07
296,862,3.5,27,2020-08-05 22:26:40
297,163,3.9,5,2019-08-26 02:01:18
298,769,4.59,77,2019-11-06 20:23:03
299,1354,3.26,6,2019-09-25 01:05:45
300,1754,4.96,1,2020-01-06 10:07:15
301,1075,4.06,78,2023-05-15 10:17:06
302,1728,3.08,2,2021-12-13 00:30:57
303,1110,4.97,47,2023-09-14 11:40:29
304,122,3.83,23,2024-03-23 05:22:52
305,1891,3.1,1,2019-08-18 16:54:43
306,772,3.91,5,2019-06-03 17:46:32
307,1977,4.73,10,2023-02-15 00:10:57
308,1073,3.58,1,2019-04-23 00:21:21
309,1908,4.6,4,2020-12-01 17:07:47
310,1922,4.2,6,2021-12-31 05:55:45
311,1618,3.21,6,2024-04-08 11:46:37
312,1642,4.23,3,2022-01-07 19:42:34
313,534,3.36,4,2021-09-16 01:06:30
314,251,4.47,3,2019-12-06 20:51:23
315,584,3.99,1,2020-06-20 10:43:23
316,966,3.35,1,2023-03-10 07:19:40
317,696,4.89,11,2021-03-01 18:55:15
318,1278,3.5,3,2023-09-29 06:24:43
319,159,3.91,5,2020-05-23 03:09:18
320,801,3.04,75,2021-06-17 16:53:30
321,856,3.3,19,2019-12-18 00:54:43
322,685,3.75,1,2022-03-16 22:31:14
323,1019,4.36,10,2021-03-20 21:11:37
324,1144,4.18,8,2022-04-03 09:16:39
325,1172,4.7,1,2020-08-20 15:13:30
326,1986,4.82,18,2019-01-05 16:25:26
327,1199,4.38,1,2020-08-30 09:41:12
328,708,3.4,22,2021-06-19 16:16:15
329,1204,3.59,1,2022-10-07 18:56:56
330,1905,4.75,5,2019-02-27 13:04:36
331,340,3.61,7,2023-05-31 03:00:14
332,1054,4.0,36,2024-02-05 17:06:19
333,1377,4.16,5,2021-10-24 02:50:50
334,175,3.02,13,2022-12-14 12:56:46
335,1266,3.04,16,2020-05-31 09:31:27
336,662,3.02,38,2022-03-08 13:42:16
337,1782,4.23,2,2022-03-18 22:10:00
338,739,4.53,4,2021-12-21 10:14:04
339,1264,3.14,4,2021-08-31 03:30:39
340,1163,3.38,32,2022-10-24 11:50:41
341,144,3.99,3,2024-04-22 10:24:11
342,730,4.4,14,2020-07-18 09:30:07
343,917,3.79,1,2024-05-25 19:44:31
344,1910,4.32,21,2020-05-11 23:21:25
345,1808,4.9,1,2024-02-01 02:10:39
346,784,4.48,12,2022-07-10 14:38:26
347,283,3.47,5,2020-07-28 17:35:43
348,1858,3.9,1,2023-03-28 06:10:40
349,1513,3.95,2,2020-06-13 17:07:47
350,106,3.32,2,2022-01-19 10:04:04
351,609,4.13,12,2019-02-24 11:38:36
352,1384,3.84,4,2022-05-25 18:59:49
353,297,3.7,4,2019-09-18 02:14:23
354,1083,3.28,1,2024-02-22 09:14:10
355,249,3.27,2,2022-02-20 02:05:31
356,829,4.15,1,2020-05-04 20:34:19
357,1629,3.3,15,2021-06-07 01:35:29
358,200,3.23,4,2021-09-29 05:19:55
359,896,4.85,0,2022-06-29 10:02:48
360,590,3.44,1,2020-04-16 02:42:26
361,505,4.18,2,2021-09-08 04:06:01
362,1571,4.51,71,2023-12-12 20:40:40
363,151,3.8,1,2022-09-16 06:26:12
364,999,3.49,1,2020-04-23 23:41:52
365,1792,4.29,15,2020-06-19 12:07:41
366,204,4.65,27,2021-07-10 16:29:46
367,568,4.33,9,2020-07-12 21:13:36
368,1963,3.09,38,2022-03-17 05:54:21
369,526,3.15,1,2021-03-16 08:01:11
370,281,4.25,1,2019-03-26 02:19:29
371,1180,4.29,24,2023-09-09 14:18:10
372,646,3.68,3,2020-08-27 09:20:21
373,880,3.41,1,2019-11-29 08:11:52
374,846,3.45,22,2023-07-31 11:17:09
375,671,4.52,5,2019-05-06 15:59:03
376,188,3.09,1,2023-11-19 00:50:03
377,378,4.07,4,2020-11-28 08:10:12
378,815,4.41,2,2020-05-02 21:17:52
379,1375,3.13,4,2024-06-18 18:17:46
380,975,3.17,5,2020-04-16 18:00:42
381,1464,3.19,22,2020-06-21 04:02:32
382,1824,4.56,1,2022-03-02 02:46:14
383,1895,4.5,4,2023-05-08 17:53:57
384,858,4.33,13,2019-12-16 23:59:44
385,1148,4.42,1,2023-07-31 12:31:35
386,95,3.31,3,2022-09-14 20:46:33
387,1757,4.09,3,2023-07-23 15:03:35
388,1734,4.0,1,2022-06-01 07:16:49
389,814,3.6,5,2019-01-27 05:02:28
390,253,3.21,4,2023-12-16 20:22:52
391,1065,3.22,2,2021-10-12 01:45:24
392,493,3.52,13,2023-07-28 03:03:02
393,809,3.12,3,2021-08-18 23:22:08
394,260,4.98,25,2020-02-19 23:20:39
395,712,4.67,12,2019-01-03 23:34:56
396,853,3.09,2,2022-04-21 07:17:44
397,967,3.36,43,2023-04-11 03:20:07
398,267,4.83,6,2023-03-27 16:44:51
399,1158,3.88,1,2023-06-18 07:23:44
400,1010,3.96,55,2021-09-01 13:33:18
401,326,4.04,1,2022-04-19 14:15:32
402,1616,4.28,0,2021-05-25 10:13:03
403,1541,4.89,1,2022-05-25 13:39:06
404,1751,4.5,3,2020-01-04 22:47:15
405,667,4.19,12,2020-02-06 17:23:40
406,133,3.44,2,2020-07-14 03:35:27
407,51,3.22,22,2020-03-13 18:57:46
408,370,4.43,2,2022-09-16 23:22:05
409,93,4.62,0,2020-07-10 06:36:48
410,714,3.15,25,2020-07-22 15:05:23
411,2000,3.03,9,2019-07-18 17:29:25
412,1600,3.09,1,2020-05-21 17:15:20
413,1807,4.22,1,2023-07-11 13:09:19
414,1453,3.43,73,2019-12-17 08:35:02
415,1032,3.56,4,2023-02-17 16:46:39
416,356,4.88,4,2023-11-01 19:23:36
417,1520,4.54,1,2019-12-14 17:06:38
418,1647,3.18,21,2024-03-25 17:31:31
419,1460,3.89,1,2022-06-16 04:17:25
420,927,4.18,1,2024-01-20 16:25:59
421,1626,4.95,5,2021-05-12 17:42:01
422,1318,4.15,11,2023-06-25 20:28:53
423,145,3.19,2,2020-05-14 20:21:14
424,1503,4.03,4,2020-09-10 18:37:53
425,892,3.22,0,2023-09-04 09:37:22
426,1690,3.04,13,2020-11-12 11:11:17
427,1465,4.75,2,2022-08-04 21:07:04
428,27,3.82,8,2020-06-06 05:48:39
429,1599,4.41,40,2019-07-13 19:59:00
430,1737,3.01,19,2020-09-03 03:38:48
431,1567,4.5,17,2023-08-03 08:45:02
432,305,3.67,23,2023-08-18 01:28:45
433,47,3.79,20,2019-10-27 09:12:34
434,718,3.01,1,2024-05-16 23:02:30
435,1856,3.09,1,2020-07-11 13:32:23
436,532,3.54,1,2023-07-03 23:24:38
437,1498,4.8,5,2023-09-05 06:32:35
438,1842,4.42,5,2022-01-08 19:27:06
439,1496,4.11,0,2020-05-17 19:34:37
440,1805,4.85,20,2024-03-28 16:08:49
441,100,3.34,1,2023-10-21 00:17:22
442,1454,4.53,5,2019-07-14 00:26:35
443,1769,3.12,1,2022-05-21 21:03:09
444,444,4.07,15,2022-09-04 18:50:09
445,1407,3.33,4,2022-11-22 01:22:07
446,1660,4.51,1,2021-01-28 06:51:06
447,1903,4.72,17,2020-07-04 21:13:18
448,1585,4.69,2,2020-10-04 12:48:21
449,354,4.76,1,2023-04-08 10:07:50
450,397,4.22,2,2022-04-12 06:51:43
451,1005,4.35,7,2020-09-25 07:54:24
452,380,3.43,1,2023-02-11 15:43:14
453,262,3.82,3,2019-09-16 19:25:53
454,1379,4.01,23,2024-05-26 21:00:45
455,300,3.23,5,2024-05-14 18:40:14
456,1202,4.93,10,2022-06-04 11:51:49
457,1194,3.35,3,2022-11-14 05:59:52
458,545,3.21,3,2022-09-10 13:22:13
459,154,4.1,6,2019-12-04 14:17:21
460,385,3.0,18,2019-08-20 02:35:30
461,1165,3.38,43,2023-04-21 14:16:31
462,466,4.58,17,2020-09-16 20:58:23
463,1383,4.8,4,2024-03-06 09:27:53
464,37,3.3,13,2023-08-07 11:23:33
465,1904,4.7,20,2020-11-26 08:09:59
466,443,3.7,2,2020-08-03 11:25:28
467,1251,3.92,1,2024-02-08 09:42:06
468,128,4.46,1,2019-07-16 16:02:28
469,261,4.06,1,2021-10-07 21:06:35
470,905,4.42,6,2019-03-03 11:15:55
471,990,3.81,3,2023-02-07 09:17:25
472,1636,3.99,3,2019-10-23 01:37:11
473,1028,4.3,77,2022-08-05 15:16:54
474,710,4.51,15,2022-02-24 06:39:11
475,274,4.65,15,2020-06-03 00:00:47
476,783,3.01,3,2023-07-31 05:03:32
477,1218,4.05,17,2021-04-07 16:18:05
478,629,3.49,2,2019-08-22 04:54:20
479,869,4.24,6,2022-12-22 04:40:17
480,939,4.21,2,2022-06-27 01:17:27
481,1586,3.23,7,2023-04-13 06:55:24
482,909,4.39,12,2021-12-30 16:37:11
483,127,4.94,16,2022-07-25 18:50:55
484,628,4.16,21,2023-07-15 17:19:52
485,1470,4.29,14,2023-08-08 21:12:34
486,1760,4.39,2,2021-12-23 05:40:47
487,67,4.32,13,2020-07-07 15:11:16
488,1063,4.47,68,2019-02-21 16:29:32
489,641,4.98,6,2020-04-13 03:09:50
490,648,4.4,4,2022-03-16 21:29:34
491,1744,3.74,3,2022-05-25 10:31:09
492,559,4.07,65,2020-06-14 16:53:03
493,774,4.22,1,2022-01-04 12:50:09
494,322,4.15,3,2019-10-20 16:07:12
495,845,3.28,1,2022-10-24 13:30:35
496,1229,3.41,1,2024-03-31 03:39:56
497,81,4.01,2,2023-10-23 23:03:51
498,1735,4.78,3,2020-05-19 21:26:55
499,1387,3.69,8,2020-11-25 10:32:18
500,1250,4.2,2,2022-09-13 23:31:55
501,92,4.26,3,2019-01-29 01:30:32
502,874,4.53,1,2021-07-14 10:09:53
503,1365,4.77,3,2023-12-05 22:05:35
504,1263,4.72,17,2019-03-11 19:50:36
505,681,3.89,1,2024-05-03 06:27:09
506,760,3.95,9,2024-04-02 00:23:48
507,635,3.82,4,2024-01-08 21:23:52
508,137,4.98,4,2021-08-04 02:07:13
509,410,3.13,10,2022-09-22 10:09:32
510,25,4.15,4,2022-05-16 10:32:26
511,1064,3.97,46,2023-10-14 10:15:28
512,1255,3.01,24,2024-01-24 11:57:53
513,1715,3.91,15,2023-03-28 07:50:50
514,1067,3.51,52,2021-12-29 10:47:49
515,1625,4.37,2,2023-11-09 23:14:55
516,1259,3.57,1,2021-05-06 21:06:34
517,1950,3.15,11,2023-05-01 14:11:09
518,1006,3.39,49,2024-03-04 19:20:42
519,148,4.6,3,2021-07-28 02:48:31
520,1359,3.23,14,2022-12-06 12:26:53
521,1272,3.49,0,2022-11-24 23:58:30
522,1777,4.04,3,2024-05-11 01:46:24
523,1262,3.69,0,2022-05-23 14:50:24
524,1885,4.47,1,2023-07-25 15:28:43
525,984,4.62,3,2019-11-28 20:54:55
526,1768,4.99,3,2021-06-29 05:13:29
527,1412,4.55,1,2023-07-17 03:52:09
528,992,3.06,1,2021-06-20 01:08:32
529,208,3.63,1,2024-02-23 10:42:06
530,1076,3.33,37,2024-06-11 10:35:05
531,1934,4.03,3,2022-05-10 15:56:19
532,169,4.75,34,2021-10-11 22:03:28
533,1785,4.93,1,2020-01-03 10:40:08
534,1260,4.67,5,2019-04-08 13:16:54
535,1193,3.33,3,2020-03-09 12:55:48
536,1674,4.92,14,2019-05-02 10:21:11
537,1015,3.79,0,2021-06-19 14:52:08
538,216,4.11,1,2019-07-10 03:53:29
539,912,3.04,1,2023-08-19 06:44:13
540,1872,3.36,1,2023-07-20 01:44:36
541,1882,4.67,1,2022-01-19 00:51:43
542,1296,4.04,60,2020-11-18 23:43:41
543,1976,3.0,61,2023-08-04 13:16:46
544,1182,4.15,11,2020-08-13 03:59:18
545,403,4.75,1,2019-05-08 20:17:33
546,426,3.66,1,2021-08-05 23:29:26
547,1447,4.33,12,2023-08-08 09:13:42
548,1936,4.1,35,2024-04-06 17:07:34
549,1344,4.19,1,2023-01-11 19:37:55
550,624,3.52,1,2019-11-26 06:54:42
551,1820,4.11,1,2022-07-16 10:45:49
552,1514,4.97,0,2021-01-04 23:22:17
553,492,3.03,2,2022-10-21 00:33:56
554,83,4.58,6,2019-02-09 12:52:19
555,998,3.09,2,2020-10-23 07:32:58
556,688,3.09,1,2021-12-07 14:36:30
557,906,4.44,0,2022-06-07 00:00:31
558,1531,3.2,1,2024-01-28 01:48:23
559,1038,3.71,17,2020-09-23 15:34:35
560,1061,3.03,2,2022-01-15 12:23:21
561,910,3.77,16,2019-10-29 15:39:35
562,669,4.12,3,2023-10-23 10:18:11
563,500,3.38,1,2022-09-23 16:08:46
564,946,4.96,3,2021-07-03 00:22:29
565,785,3.86,1,2023-11-05 07:40:20
566,1646,3.1,5,2023-01-30 20:23:09
567,788,4.83,5,2019-03-02 14:26:54
568,1000,4.31,15,2023-07-08 04:46:13
569,101,3.94,38,2022-07-11 15:17:16
570,1390,4.76,4,2019-04-19 11:47:04
571,750,3.06,14,2024-05-14 12:30:50
572,1896,4.5,9,2022-08-21 21:37:16
573,1341,3.74,5,2020-01-17 18:14:33
574,1733,3.1,14,2021-04-23 03:48:25
575,277,4.84,4,2021-07-30 10:31:03
576,574,4.9,8,2021-02-22 03:19:44
577,1213,3.26,17,2024-01-24 13:13:58
578,150,4.88,2,2022-05-07 05:37:55
579,1475,3.97,2,2021-12-01 11:45:54
580,569,4.91,4,2023-10-02 14:10:49
581,1911,4.8,3,2022-05-30 10:58:44
582,1039,4.64,1,2022-03-08 16:15:24
583,1071,3.33,15,2019-04-30 23:40:06
584,1680,3.76,4,2020-01-27 14:40:20
585,634,3.23,3,2021-12-05 08:53:22
586,674,4.22,1,2022-09-17 04:31:53
587,166,4.74,1,2020-03-01 10:01:06
588,678,3.63,5,2022-08-14 21:21:29
589,460,4.54,1,2020-07-26 09:41:29
590,84,4.88,1,2020-07-15 17:25:41
591,791,3.25,1,2019-01-25 14:08:25
592,1712,3.66,5,2020-10-31 09:28:41
593,1102,4.86,1,2021-07-05 04:58:51
594,566,3.88,2,2019-04-02 08:11:25
