trip_id,rider_id,driver_id,pickup_location_id,dropoff_location_id,requested_at,started_at,completed_at,status,distance_km,duration_mins,base_fare,surge_multiplier,total_fare,payment_method
18,5,275,14,11,"2022-08-11 07:03:45","2022-08-11 07:08:45","2022-08-11 07:47:45",completed,30.64,39,44,1.88,82.72,cash
19,5,323,21,27,"2024-05-29 05:57:50","2024-05-29 06:03:50","2024-05-29 06:28:50",completed,27.34,25,37.57,1,37.57,card
20,5,76,38,39,"2023-09-01 14:54:27","2023-09-01 15:01:27","2023-09-01 15:28:27",completed,20.39,27,30.33,1,30.33,cash
21,5,285,21,27,"2023-02-16 12:13:42","2023-02-16 12:19:42","2023-02-16 13:19:42",completed,25.58,60,42.64,1,42.64,cash
22,5,100,22,30,"2024-03-19 05:31:27","2024-03-19 05:33:27","2024-03-19 06:06:27",completed,17.63,33,28.49,1,28.49,card
23,5,132,8,7,"2023-04-16 04:51:04","2023-04-16 04:55:04","2023-04-16 05:02:04",completed,3.2,7,7.42,1,7.42,cash
24,5,224,28,29,"2023-09-09 13:02:07","2023-09-09 13:04:07","2023-09-09 14:42:07",completed,35.74,98,61.41,1,61.41,card
25,5,365,1,2,"2023-05-22 11:13:26","2023-05-22 11:23:26","2023-05-22 12:14:26",completed,25.79,51,41.07,1,41.07,wallet
26,5,268,29,28,"2024-05-29 00:48:02","2024-05-29 00:58:02","2024-05-29 02:31:02",completed,37.67,93,62.54,1,62.54,wallet
27,5,30,33,35,"2024-05-31 09:36:24","2024-05-31 09:43:24","2024-05-31 10:09:24",completed,12.37,26,21.31,1,21.31,cash
28,5,127,32,37,"2022-01-13 23:00:40","2022-01-13 23:05:40","2022-01-13 23:41:40",completed,17.46,36,28.91,1,28.91,cash
29,5,2,26,22,"2022-03-06 04:47:56","2022-03-06 04:51:56",NULL,cancelled,11.64,20,19.3,1,19.3,wallet
30,5,65,11,12,"2024-01-30 18:54:32","2024-01-30 19:01:32","2024-01-30 19:43:32",completed,28.58,42,42.34,1.6,67.74,cash
31,5,250,2,1,"2023-02-22 23:17:20","2023-02-22 23:25:20","2023-02-23 00:19:20",completed,25.92,54,41.81,1,41.81,card
32,5,144,27,30,"2023-11-26 21:10:02","2023-11-26 21:16:02","2023-11-26 21:32:02",completed,13.17,16,20.19,1,20.19,cash
33,5,218,16,15,"2024-04-23 07:01:24","2024-04-23 07:06:24","2024-04-23 07:15:24",completed,4.82,9,9.6,2.26,21.7,card
34,5,277,34,37,"2024-04-10 22:50:31","2024-04-10 23:02:31","2024-04-10 23:30:31",completed,15.1,28,24.71,1,24.71,cash
35,5,183,10,3,"2022-12-22 22:12:45","2022-12-22 22:16:45","2022-12-22 22:45:45",completed,19.01,29,29.21,1,29.21,cash
36,5,206,22,30,"2023-12-17 01:21:16","2023-12-17 01:23:16","2023-12-17 02:04:16",completed,15.61,41,27.87,1,27.87,cash
37,5,270,21,30,"2022-07-20 14:11:15","2022-07-20 14:18:15",NULL,in_progress,34.09,33,46.6,1.44,67.1,wallet
38,5,287,33,34,"2022-12-19 09:23:01","2022-12-19 09:27:01","2022-12-19 09:43:01",completed,11.61,16,18.47,1,18.47,card
39,5,299,40,36,"2024-02-25 07:11:02","2024-02-25 07:15:02","2024-02-25 08:54:02",completed,37.35,99,63.39,1,63.39,cash
40,5,364,32,37,"2022-11-24 19:07:11","2022-11-24 19:18:11","2022-11-24 19:48:11",completed,21.97,30,32.67,1.92,62.73,card
41,5,360,38,36,"2023-12-15 19:02:40","2023-12-15 19:08:40","2023-12-15 20:13:40",completed,25.58,65,43.64,2.87,125.25,cash
42,5,327,10,7,"2022-09-04 03:29:36","2022-09-04 03:37:36","2022-09-04 04:01:36",completed,13.17,24,21.79,1,21.79,card
43,5,72,20,18,"2023-11-30 07:45:30","2023-11-30 07:50:30","2023-11-30 08:26:30",completed,22.73,36,34.7,2.22,77.03,cash
44,5,124,25,24,"2023-06-17 05:20:47","2023-06-17 05:26:47","2023-06-17 06:13:47",completed,25.99,47,40.49,1,40.49,cash
45,5,147,32,36,"2023-09-23 20:31:40","2023-09-23 20:37:40","2023-09-23 20:41:40",completed,4.72,4,8.49,1,8.49,wallet
46,5,19,14,15,"2024-04-09 10:45:41","2024-04-09 10:57:41","2024-04-09 11:40:41",completed,17.36,43,30.2,1,30.2,cash
47,5,382,21,30,"2023-03-22 23:08:08","2023-03-22 23:10:08","2023-03-23 00:01:08",completed,39.37,51,56.01,1,56.01,cash
48,5,172,35,33,"2023-09-22 22:47:25","2023-09-22 22:55:25","2023-09-22 23:07:25",completed,11.72,12,17.79,1.69,30.07,card
49,5,368,34,37,"2022-12-25 17:39:10","2022-12-25 17:41:10","2022-12-25 18:11:10",completed,20.95,30,31.55,1,31.55,wallet
50,5,389,32,36,"2022-08-19 09:20:27","2022-08-19 09:29:27","2022-08-19 09:32:27",completed,4.79,3,8.37,1,8.37,card
51,5,164,2,5,"2024-02-03 06:34:07","2024-02-03 06:41:07","2024-02-03 07:06:07",completed,27.87,25,38.16,1,38.16,wallet
52,5,108,10,4,"2022-12-04 18:17:24","2022-12-04 18:24:24","2022-12-04 18:46:24",completed,19.34,22,28.17,1,28.17,card
53,5,232,14,16,"2023-10-11 04:26:32","2023-10-11 04:38:32","2023-10-11 05:33:32",completed,21.04,55,36.64,1,36.64,card
54,5,393,14,20,"2022-01-31 21:08:45","2022-01-31 21:12:45","2022-01-31 21:47:45",completed,17.05,35,28.26,1,28.26,card
55,6,166,1,4,"2022-08-11 12:43:47","2022-08-11 12:54:47","2022-08-11 13:03:47",completed,8.28,9,13.41,1,13.41,cash
56,6,27,25,23,"2023-12-03 13:14:41","2023-12-03 13:24:41","2023-12-03 13:32:41",completed,4.96,8,9.56,1,9.56,card
57,6,285,25,23,"2023-01-22 03:53:40","2023-01-22 03:56:40","2023-01-22 04:02:40",completed,4.69,6,8.86,1,8.86,wallet
58,6,178,36,35,"2024-06-05 20:51:23","2024-06-05 20:56:23","2024-06-05 21:13:23",completed,8.84,17,15.62,1,15.62,card
59,6,114,34,40,"2022-10-12 15:06:43","2022-10-12 15:13:43","2022-10-12 15:50:43",completed,22.98,37,35.18,1,35.18,wallet
60,6,38,14,11,"2024-01-18 19:57:48","2024-01-18 20:02:48","2024-01-18 20:42:48",completed,27.25,40,40.48,2.44,98.77,card
61,6,20,34,37,"2023-04-27 22:04:10","2023-04-27 22:07:10","2023-04-27 22:41:10",completed,23.45,34,35.09,1,35.09,cash
62,6,10,40,39,"2023-08-05 11:13:16","2023-08-05 11:18:16","2023-08-05 12:04:16",completed,29.5,46,44.15,1,44.15,cash
63,6,365,7,1,"2022-07-14 23:28:56","2022-07-14 23:33:56",NULL,cancelled,4.24,5,8.16,1,8.16,cash
64,6,132,8,1,"2023-02-19 10:01:25","2023-02-19 10:13:25","2023-02-19 10:16:25",completed,1.37,3,4.61,1,4.61,wallet
65,7,272,6,7,"2023-04-20 15:40:15","2023-04-20 15:43:15","2023-04-20 15:48:15",completed,2.44,5,6.18,1,6.18,card
66,7,131,39,31,"2024-01-26 11:06:14","2024-01-26 11:16:14","2024-01-26 11:46:14",completed,30.91,30,42.5,1,42.5,wallet
67,7,389,36,31,"2023-06-27 14:43:05","2023-06-27 14:48:05","2023-06-27 15:32:05",completed,29.16,44,43.38,1,43.38,card
68,7,249,18,12,"2023-06-02 13:54:32","2023-06-02 14:03:32","2023-06-02 14:34:32",completed,14.28,31,24.41,1,24.41,cash
69,7,178,34,33,"2024-03-10 22:01:21","2024-03-10 22:13:21","2024-03-10 22:26:21",completed,9.85,13,15.94,1,15.94,cash
70,7,47,27,23,"2022-04-26 15:04:52","2022-04-26 15:16:52","2022-04-26 16:04:52",completed,30.25,48,45.38,1,45.38,card
71,7,129,31,38,"2023-11-09 00:29:17","2023-11-09 00:32:17","2023-11-09 01:15:17",completed,38.69,43,53.66,1,53.66,wallet
72,7,267,9,6,"2023-10-15 11:44:17","2023-10-15 11:55:17","2023-10-15 12:00:17",completed,4.05,5,7.96,1,7.96,cash
73,7,11,9,1,"2022-02-28 22:34:50","2022-02-28 22:37:50","2022-02-28 22:43:50",completed,2.77,6,6.75,1,6.75,wallet
74,7,89,13,18,"2024-03-08 14:35:20","2024-03-08 14:45:20","2024-03-08 15:28:20",completed,16.91,43,29.7,1.42,42.17,wallet
75,7,43,4,9,"2024-03-23 10:57:17","2024-03-23 11:00:17",NULL,cancelled,11.12,22,19.13,1,19.13,wallet
76,7,143,7,10,"2022-03-13 01:31:54","2022-03-13 01:38:54","2022-03-13 02:06:54",completed,18.32,28,28.25,1,28.25,wallet
77,7,219,13,17,"2024-01-14 12:43:47","2024-01-14 12:47:47",NULL,in_progress,5.46,15,11.51,1,11.51,card
78,7,288,39,32,"2023-03-28 02:16:04","2023-03-28 02:25:04","2023-03-28 02:40:04",completed,6.75,15,12.93,1,12.93,cash
79,7,210,1,9,"2022-12-11 18:42:48","2022-12-11 18:44:48","2022-12-11 18:55:48",completed,4.46,11,9.61,1,9.61,wallet
80,7,151,5,6,"2023-03-18 06:21:39","2023-03-18 06:32:39","2023-03-18 06:44:39",completed,8.35,12,14.09,1,14.09,wallet
81,7,15,7,9,"2024-03-11 04:24:01","2024-03-11 04:32:01","2024-03-11 04:56:01",completed,7.11,24,15.12,1,15.12,card
82,8,33,25,26,"2023-11-01 16:50:45","2023-11-01 16:52:45","2023-11-01 17:34:45",completed,27.55,42,41.21,1,41.21,cash
83,8,101,32,39,"2022-03-17 19:56:14","2022-03-17 20:08:14",NULL,cancelled,9.36,19,16.6,1.52,25.23,cash
84,8,216,16,17,"2023-05-30 14:52:58","2023-05-30 14:57:58","2023-05-30 15:06:58",completed,3.14,9,7.75,1,7.75,wallet
85,9,83,7,8,"2024-05-15 14:16:34","2024-05-15 14:25:34","2024-05-15 14:31:34",completed,2.65,6,6.62,1,6.62,cash
86,9,272,1,2,"2022-08-12 00:57:01","2022-08-12 01:03:01","2022-08-12 01:36:01",completed,28.42,33,40.36,2.93,118.25,cash
87,9,137,31,36,"2023-04-05 11:45:12","2023-04-05 11:56:12","2023-04-05 12:53:12",completed,31.79,57,48.87,1,48.87,wallet
88,9,229,9,4,"2024-06-01 09:38:13","2024-06-01 09:47:13",NULL,cancelled,11.08,23,19.29,1,19.29,cash
89,9,37,14,11,"2022-11-11 02:29:00","2022-11-11 02:35:00",NULL,cancelled,26.96,39,39.96,1,39.96,card
90,10,234,25,24,"2023-05-02 00:41:21","2023-05-02 00:45:21","2023-05-02 01:22:21",completed,25.87,37,38.36,1,38.36,wallet
91,10,115,28,30,"2024-05-29 20:40:55","2024-05-29 20:52:55",NULL,in_progress,32.05,38,45.36,1,45.36,wallet
92,10,203,24,26,"2022-06-04 23:55:20","2022-06-05 00:05:20","2022-06-05 00:40:20",completed,20.12,35,31.63,2.01,63.58,cash
93,10,255,1,3,"2022-07-17 21:37:14","2022-07-17 21:42:14","2022-07-17 22:21:14",completed,15.37,39,27.21,1,27.21,cash
94,10,156,38,32,"2022-10-14 12:52:35","2022-10-14 12:59:35",NULL,cancelled,18.56,30,28.92,1,28.92,wallet
95,11,337,33,39,"2022-01-19 14:21:44","2022-01-19 14:28:44","2022-01-19 14:31:44",completed,2.43,3,5.77,1,5.77,card
96,12,90,13,18,"2024-03-29 23:36:16","2024-03-29 23:46:16","2024-03-30 00:12:16",completed,14.78,26,23.96,2.38,57.02,card
97,12,172,36,33,"2024-01-06 18:24:19","2024-01-06 18:32:19",NULL,in_progress,12.18,15,18.9,1,18.9,card
98,12,65,15,19,"2022-08-20 17:39:25","2022-08-20 17:45:25","2022-08-20 17:50:25",completed,4.29,5,8.22,1,8.22,cash
99,12,96,32,35,"2023-07-25 02:25:35","2023-07-25 02:27:35",NULL,cancelled,2.51,4,6.06,1,6.06,card
100,12,154,27,30,"2022-07-09 04:25:15","2022-07-09 04:31:15","2022-07-09 04:57:15",completed,17.93,26,27.42,1,27.42,cash
101,12,33,25,28,"2022-05-24 17:12:17","2022-05-24 17:22:17","2022-05-24 17:33:17",completed,10.73,11,16.5,2.72,44.88,wallet
102,12,49,36,37,"2022-08-11 03:58:11","2022-08-11 04:04:11","2022-08-11 04:55:11",completed,27.69,51,43.16,1,43.16,card
103,12,118,1,4,"2023-02-11 17:51:55","2023-02-11 17:54:55",NULL,cancelled,6.91,13,12.7,1,12.7,wallet
104,12,255,5,1,"2023-06-15 23:27:07","2023-06-15 23:30:07","2023-06-15 23:50:07",completed,8.77,20,16.15,1,16.15,wallet
105,12,270,25,28,"2022-03-01 21:20:14","2022-03-01 21:30:14","2022-03-01 21:59:14",completed,9.43,29,18.67,1,18.67,cash
106,12,185,15,19,"2023-12-14 16:14:01","2023-12-14 16:24:01","2023-12-14 16:31:01",completed,3.46,7,7.71,1,7.71,cash
107,12,112,18,13,"2022-08-25 20:21:05","2022-08-25 20:30:05","2022-08-25 20:47:05",completed,15.13,17,22.54,1,22.54,cash
108,12,12,14,18,"2023-02-17 11:28:34","2023-02-17 11:34:34","2023-02-17 12:36:34",completed,21.18,62,38.2,1,38.2,cash
109,12,2,24,30,"2022-06-15 12:11:48","2022-06-15 12:16:48","2022-06-15 12:35:48",completed,16.62,19,24.58,1,24.58,cash
110,12,383,2,1,"2023-08-22 13:20:08","2023-08-22 13:22:08","2023-08-22 14:14:08",completed,24.01,52,39.31,1,39.31,card
111,13,373,19,11,"2023-06-25 02:33:34","2023-06-25 02:42:34","2023-06-25 03:32:34",completed,33.67,50,49.54,1,49.54,card
112,14,32,19,20,"2023-09-23 18:30:23","2023-09-23 18:42:23","2023-09-23 18:52:23",completed,7.1,10,12.31,1,12.31,card
113,14,159,5,1,"2022-04-06 10:22:56","2022-04-06 10:28:56","2022-04-06 10:39:56",completed,7.54,11,12.99,1,12.99,wallet
114,14,153,30,29,"2023-02-26 22:52:19","2023-02-26 23:02:19","2023-02-27 00:14:19",completed,28.21,72,47.93,1,47.93,card
115,14,11,1,8,"2023-12-29 20:15:45","2023-12-29 20:17:45","2023-12-29 20:20:45",completed,1.21,3,4.43,1,4.43,cash
116,14,240,34,31,"2023-11-21 23:09:26","2023-11-21 23:19:26","2023-11-21 23:48:26",completed,33.02,29,44.62,1,44.62,cash
117,14,330,1,5,"2022-02-06 16:50:35","2022-02-06 16:54:35","2022-02-06 17:15:35",completed,9.84,21,17.52,1,17.52,cash
118,14,136,10,7,"2023-11-27 12:54:59","2023-11-27 13:00:59","2023-11-27 13:35:59",completed,14.18,35,25.1,1,25.1,cash
119,14,394,26,23,"2022-12-22 10:43:18","2022-12-22 10:54:18","2022-12-22 11:50:18",completed,36.67,56,54.04,1,54.04,cash
120,14,99,31,35,"2024-06-28 19:13:58","2024-06-28 19:24:58","2024-06-28 20:29:58",completed,30.16,65,48.68,2.11,102.71,wallet
121,14,158,32,40,"2024-01-12 23:03:30","2024-01-12 23:15:30","2024-01-13 00:47:30",completed,41.47,92,66.52,1.82,121.07,cash
122,14,304,33,35,"2024-02-26 22:10:41","2024-02-26 22:19:41","2024-02-26 22:47:41",completed,11.86,28,21.15,1,21.15,cash
123,14,335,17,16,"2023-01-14 10:06:56","2023-01-14 10:17:56","2023-01-14 10:24:56",completed,2.95,7,7.15,1,7.15,cash
124,14,281,14,15,"2024-06-14 13:44:12","2024-06-14 13:49:12","2024-06-14 14:44:12",completed,25.08,55,41.09,1,41.09,card
125,14,178,36,39,"2022-06-07 07:33:00","2022-06-07 07:42:00",NULL,cancelled,12.11,18,19.42,2.41,46.8,wallet
126,14,48,33,36,"2022-02-08 01:20:14","2022-02-08 01:28:14","2022-02-08 01:46:14",completed,12.77,18,20.15,1,20.15,cash
127,14,163,37,34,"2024-04-11 06:31:28","2024-04-11 06:42:28","2024-04-11 07:13:28",completed,19.48,31,30.13,1,30.13,wallet
128,14,260,6,8,"2022-01-08 14:46:53","2022-01-08 14:51:53","2022-01-08 14:54:53",completed,0.76,3,3.94,1,3.94,card
129,14,288,37,40,"2022-08-23 10:32:06","2022-08-23 10:39:06","2022-08-23 11:42:06",completed,37.75,63,56.63,1,56.63,cash
130,14,11,3,7,"2022-03-25 06:12:08","2022-03-25 06:14:08","2022-03-25 06:44:08",completed,15.48,30,25.53,1,25.53,card
131,14,270,21,22,"2023-05-23 12:22:07","2023-05-23 12:30:07","2023-05-23 12:59:07",completed,19,29,29.2,1,29.2,wallet
132,14,104,25,30,"2024-03-09 21:22:33","2024-03-09 21:25:33","2024-03-09 22:46:33",completed,31.4,81,53.24,1.37,72.94,card
133,14,265,14,19,"2023-04-16 14:59:33","2023-04-16 15:11:33","2023-04-16 16:12:33",completed,25.01,61,42.21,1,42.21,wallet
134,14,377,19,17,"2024-01-13 15:47:25","2024-01-13 15:51:25","2024-01-13 15:54:25",completed,1.51,3,4.76,1,4.76,wallet
135,14,49,38,34,"2023-10-04 02:16:14","2023-10-04 02:23:14",NULL,cancelled,29.5,37,42.35,1,42.35,card
136,14,307,9,3,"2022-08-06 00:44:02","2022-08-06 00:46:02","2022-08-06 01:16:02",completed,19.11,30,29.52,2.29,67.6,cash
137,14,48,37,32,"2022-12-13 22:52:46","2022-12-13 22:54:46",NULL,cancelled,17.07,51,31.48,1,31.48,wallet
138,14,180,14,17,"2024-02-27 04:44:46","2024-02-27 04:49:46",NULL,cancelled,18.17,65,35.49,1,35.49,cash
139,14,179,31,34,"2022-08-17 21:18:19","2022-08-17 21:23:19","2022-08-17 21:52:19",completed,39.8,29,52.08,1,52.08,wallet
140,14,72,16,13,"2024-04-09 00:17:56","2024-04-09 00:21:56","2024-04-09 00:36:56",completed,9.12,15,15.53,1,15.53,card
141,15,154,30,24,"2023-12-18 06:52:53","2023-12-18 07:03:53","2023-12-18 07:23:53",completed,15.18,20,23.2,1,23.2,card
142,16,128,40,37,"2023-02-04 15:27:36","2023-02-04 15:33:36","2023-02-04 16:31:36",completed,37.54,58,55.39,1,55.39,wallet
143,16,254,19,17,"2024-02-28 01:21:06","2024-02-28 01:24:06","2024-02-28 01:27:06",completed,2.26,3,5.59,1,5.59,card
144,16,19,15,11,"2024-03-18 09:12:32","2024-03-18 09:14:32","2024-03-18 10:10:32",completed,25.1,56,41.31,1,41.31,cash
145,16,281,20,11,"2023-08-27 18:09:44","2023-08-27 18:13:44","2023-08-27 19:11:44",completed,25.39,58,42.03,1,42.03,card
146,16,367,10,2,"2022-08-25 00:53:06","2022-08-25 00:55:06","2022-08-25 01:37:06",completed,22.13,42,35.24,1,35.24,cash
147,16,68,7,3,"2023-09-09 11:09:17","2023-09-09 11:17:17","2023-09-09 11:55:17",completed,22.25,38,34.58,1,34.58,cash
148,16,29,11,13,"2023-05-12 06:53:19","2023-05-12 07:00:19","2023-05-12 08:02:19",completed,26.79,62,44.37,1,44.37,card
149,16,287,40,34,"2023-07-12 16:36:05","2023-07-12 16:45:05","2023-07-12 17:54:05",completed,34.81,69,54.59,1,54.59,card
150,16,103,28,25,"2022-05-13 13:38:47","2022-05-13 13:41:47","2022-05-13 13:54:47",completed,7.57,13,13.43,1,13.43,card
151,16,284,17,13,"2023-07-06 16:48:57","2023-07-06 16:56:57","2023-07-06 17:10:57",completed,6.87,14,12.86,1,12.86,wallet
152,16,120,23,24,"2022-11-20 02:35:20","2022-11-20 02:37:20","2022-11-20 03:25:20",completed,30.19,48,45.31,1,45.31,wallet
153,16,375,13,20,"2022-09-16 01:42:47","2022-09-16 01:54:47","2022-09-16 01:57:47",completed,2.6,3,5.96,2.27,13.53,card
154,17,318,31,38,"2024-03-21 10:28:35","2024-03-21 10:38:35","2024-03-21 11:13:35",completed,37.59,35,50.85,1,50.85,cash
155,17,393,15,19,"2023-06-27 01:15:58","2023-06-27 01:19:58","2023-06-27 01:22:58",completed,3.39,3,6.83,1,6.83,card
156,17,224,23,29,"2024-01-01 01:23:22","2024-01-01 01:29:22","2024-01-01 03:13:22",completed,39.39,104,66.63,1,66.63,card
157,18,254,16,12,"2022-09-01 21:45:46","2022-09-01 21:56:46","2022-09-01 22:02:46",completed,2.39,6,6.33,1,6.33,card
158,18,380,2,1,"2024-03-08 08:00:07","2024-03-08 08:03:07","2024-03-08 09:02:07",completed,27.96,59,45.06,2.65,119.41,card
159,18,177,33,34,"2022-03-16 00:45:34","2022-03-16 00:47:34","2022-03-16 01:12:34",completed,7.43,25,15.67,1,15.67,card
160,18,61,39,34,"2022-01-05 09:09:29","2022-01-05 09:14:29","2022-01-05 09:23:29",completed,6.51,9,11.46,1,11.46,card
161,18,232,17,20,"2022-08-08 21:12:37","2022-08-08 21:22:37","2022-08-08 21:33:37",completed,5.98,11,11.28,1,11.28,cash
162,18,333,7,10,"2023-08-22 20:44:29","2023-08-22 20:54:29","2023-08-22 21:13:29",completed,16.7,19,24.67,1,24.67,cash
163,18,152,15,12,"2022-01-30 07:08:51","2022-01-30 07:16:51","2022-01-30 07:27:51",completed,4.33,11,9.46,1.37,12.96,wallet
164,18,135,11,12,"2023-05-27 09:23:04","2023-05-27 09:35:04","2023-05-27 10:26:04",completed,26.55,51,41.91,1,41.91,cash
165,18,329,3,9,"2022-01-06 13:57:15","2022-01-06 14:08:15",NULL,cancelled,16.3,31,26.63,1,26.63,card
166,18,265,17,20,"2024-06-09 08:25:15","2024-06-09 08:33:15","2024-06-09 08:41:15",completed,6.33,8,11.06,1,11.06,wallet
167,18,135,13,14,"2022-09-10 15:50:00","2022-09-10 15:54:00","2022-09-10 16:54:00",completed,21.61,60,38.27,1,38.27,wallet
168,18,77,8,5,"2023-01-01 01:52:09","2023-01-01 01:59:09","2023-01-01 02:13:09",completed,10.17,14,16.49,1,16.49,cash
169,18,297,24,30,"2023-07-20 15:50:24","2023-07-20 15:52:24","2023-07-20 16:47:24",completed,20.71,55,36.28,1,36.28,cash
170,18,208,17,13,"2023-12-21 06:08:46","2023-12-21 06:17:46","2023-12-21 06:25:46",completed,6.04,8,10.74,1,10.74,cash
171,18,114,40,31,"2023-01-05 15:47:09","2023-01-05 15:49:09","2023-01-05 16:36:09",completed,52.79,47,69.97,1,69.97,wallet
172,19,3,10,8,"2022-07-02 21:24:02","2022-07-02 21:34:02",NULL,cancelled,13.51,17,20.76,1,20.76,wallet
173,19,397,14,16,"2023-05-26 06:30:06","2023-05-26 06:36:06","2023-05-26 07:24:06",completed,23.49,48,37.94,1,37.94,cash
174,20,292,26,30,"2023-09-24 21:18:16","2023-09-24 21:27:16","2023-09-24 21:50:16",completed,15.91,23,24.6,1,24.6,cash
175,20,397,19,14,"2022-01-29 11:04:22","2022-01-29 11:10:22",NULL,cancelled,22.88,54,38.47,1,38.47,cash
176,20,133,32,37,"2022-01-01 20:57:56","2022-01-01 21:07:56","2022-01-01 21:54:56",completed,21.21,47,35.23,1,35.23,card
177,20,317,22,26,"2022-09-18 19:16:16","2022-09-18 19:20:16","2022-09-18 19:42:16",completed,8.78,22,16.56,1,16.56,cash
178,20,24,39,34,"2023-02-27 23:52:42","2023-02-28 00:01:42","2023-02-28 00:07:42",completed,5.66,6,9.93,1,9.93,wallet
179,20,238,4,1,"2024-02-10 06:19:54","2024-02-10 06:25:54","2024-02-10 06:41:54",completed,7.44,16,13.88,1,13.88,wallet
180,20,244,18,20,"2022-07-16 17:41:54","2022-07-16 17:50:54","2022-07-16 18:09:54",completed,14.91,19,22.7,1,22.7,card
181,20,87,28,29,"2024-03-17 07:32:51","2024-03-17 07:44:51","2024-03-17 08:24:51",completed,29.35,40,42.79,1,42.79,wallet
182,20,342,19,17,"2024-03-07 04:29:08","2024-03-07 04:41:08","2024-03-07 04:44:08",completed,1.4,3,4.64,1,4.64,cash
183,20,164,4,1,"2024-06-02 02:12:19","2024-06-02 02:14:19","2024-06-02 02:32:19",completed,8.68,18,15.65,1,15.65,wallet
184,20,337,35,36,"2023-12-20 13:17:34","2023-12-20 13:29:34","2023-12-20 13:44:34",completed,10.24,15,16.76,1,16.76,card
185,20,185,20,13,"2023-10-24 20:02:34","2023-10-24 20:06:34","2023-10-24 20:11:34",completed,2.85,5,6.63,1,6.63,cash
186,21,329,10,2,"2023-08-31 09:30:24","2023-08-31 09:32:24","2023-08-31 10:13:24",completed,24.37,41,37.51,1,37.51,wallet
187,21,86,20,19,"2023-05-27 16:32:33","2023-05-27 16:44:33","2023-05-27 16:51:33",completed,8.56,7,13.32,1,13.32,wallet
188,21,385,6,9,"2023-05-04 03:11:05","2023-05-04 03:20:05","2023-05-04 03:33:05",completed,4.21,13,9.73,1,9.73,wallet
189,21,29,18,19,"2023-04-26 16:23:15","2023-04-26 16:28:15","2023-04-26 16:55:15",completed,17.1,27,26.71,1,26.71,card
190,21,399,22,28,"2023-12-25 10:14:45","2023-12-25 10:22:45",NULL,cancelled,9.9,11,15.59,1,15.59,wallet
191,21,1,29,24,"2023-08-26 14:07:00","2023-08-26 14:18:00",NULL,cancelled,14.89,38,26.48,1,26.48,card
192,21,169,40,36,"2022-07-21 18:52:03","2022-07-21 19:02:03","2022-07-21 19:41:03",completed,31.75,39,45.23,1.84,83.22,card
193,21,370,17,16,"2022-10-31 19:16:57","2022-10-31 19:20:57","2022-10-31 19:29:57",completed,3.64,9,8.3,2.71,22.49,cash
