cancel_id,trip_id,cancelled_by,reason,cancelled_at
139,1135,rider,changed my mind,2023-01-25 21:03:09
140,1137,rider,changed my mind,2024-04-15 13:10:59
141,1139,driver,wrong pickup,2024-06-07 00:50:12
142,1146,driver,area not safe,2022-09-02 00:23:37
143,1147,rider,waited too long,2023-07-07 13:11:26
144,1149,rider,driver too far,2023-03-08 19:08:44
145,1154,driver,personal emergency,2022-06-23 10:20:25
146,1170,driver,wrong pickup,2024-02-10 05:21:50
147,1180,driver,rider rating too low,2023-12-21 02:26:59
148,1200,rider,waited too long,2023-01-16 03:37:21
149,1203,driver,vehicle issue,2023-08-31 22:02:50
150,1208,driver,rider rating too low,2022-07-30 00:02:28
151,1219,rider,too long wait,2023-06-04 13:10:56
152,1221,driver,rider rating too low,2023-07-28 08:26:32
153,1233,rider,too long wait,2024-06-04 01:20:43
154,1245,driver,wrong pickup,2023-01-30 18:08:20
155,1255,rider,too long wait,2022-06-07 06:17:02
156,1256,rider,found another ride,2022-06-23 21:18:37
157,1284,driver,rider unresponsive,2023-05-04 16:56:23
158,1286,driver,rider unresponsive,2022-02-25 01:14:48
159,1291,driver,system error,2022-03-03 09:38:48
160,1300,rider,personal emergency,2022-08-29 06:26:22
161,1302,driver,area not safe,2023-06-29 15:49:32
162,1305,driver,vehicle issue,2024-02-10 20:22:27
163,1307,driver,personal emergency,2022-02-22 21:34:02
164,1308,driver,wrong pickup,2023-07-14 04:52:01
165,1317,rider,waited too long,2024-05-26 12:50:46
166,1319,rider,driver too far,2024-03-02 16:18:16
167,1322,rider,changed my mind,2024-06-08 03:19:28
168,1327,rider,too long wait,2022-10-06 13:16:03
169,1335,rider,changed my mind,2022-06-04 20:48:51
170,1343,rider,personal emergency,2024-01-02 14:49:27
171,1354,rider,changed my mind,2022-03-08 19:13:13
172,1356,driver,system error,2022-12-17 12:15:36
173,1359,driver,rider unresponsive,2024-04-02 12:21:34
174,1360,rider,driver too far,2022-09-05 11:58:13
175,1374,driver,wrong pickup,2022-03-21 03:11:20
176,1377,rider,too long wait,2024-04-22 03:39:47
177,1379,rider,price too high,2022-07-01 20:36:56
178,1386,rider,price too high,2023-04-07 11:57:24
179,1391,rider,price too high,2024-03-26 19:14:59
180,1395,driver,personal emergency,2022-11-09 15:07:47
181,1398,rider,personal emergency,2022-04-16 16:08:40
182,1410,driver,vehicle issue,2022-12-18 03:08:32
183,1411,rider,price too high,2024-03-20 02:52:50
184,1416,rider,waited too long,2022-07-29 15:40:18
185,1417,rider,personal emergency,2024-02-18 06:26:30
186,1418,rider,found another ride,2024-05-11 14:33:07
187,1426,rider,driver too far,2022-05-25 19:02:29
188,1434,rider,too long wait,2023-03-15 15:37:35
189,1437,rider,duplicate booking,2024-02-28 22:30:06
190,1440,rider,changed my mind,2022-12-22 02:38:51
191,1447,driver,personal emergency,2023-10-26 23:09:42
192,1463,rider,found another ride,2022-12-21 23:52:59
193,1464,rider,found another ride,2023-06-28 01:10:23
194,1469,rider,too long wait,2023-05-19 23:31:26
195,1487,driver,system error,2022-09-07 09:12:02
196,1488,driver,vehicle issue,2023-10-19 17:15:01
197,1492,driver,area not safe,2022-05-10 17:40:04
198,1494,rider,found another ride,2024-02-26 03:13:44
199,1501,rider,duplicate booking,2024-01-20 14:59:35
200,1522,rider,price too high,2022-11-26 23:27:48
201,1523,rider,driver too far,2023-04-18 22:04:39
202,1524,rider,price too high,2023-05-27 18:52:25
203,1526,driver,rider unresponsive,2023-08-26 04:40:08
204,1528,driver,rider unresponsive,2022-02-07 13:28:37
205,1529,rider,too long wait,2024-05-09 10:06:08
206,1531,driver,wrong pickup,2022-10-02 09:11:54
207,1532,rider,duplicate booking,2023-08-27 00:00:07
208,1535,rider,personal emergency,2023-05-01 03:51:49
209,1536,driver,wrong pickup,2022-11-18 11:18:25
210,1539,driver,system error,2023-05-13 05:43:03
211,1545,rider,personal emergency,2024-01-06 00:42:52
212,1547,rider,personal emergency,2022-09-13 19:22:23
213,1550,rider,changed my mind,2024-05-19 19:55:25
214,1560,rider,waited too long,2023-08-18 01:32:46
215,1562,rider,duplicate booking,2022-08-13 02:17:34
216,1565,driver,system error,2022-01-24 11:33:57
217,1567,rider,too long wait,2022-07-11 02:37:04
218,1580,driver,system error,2024-03-22 23:10:18
219,1581,rider,changed my mind,2022-06-11 15:19:55
220,1590,rider,duplicate booking,2023-12-08 22:30:15
221,1595,rider,driver too far,2023-11-02 19:15:54
222,1607,driver,personal emergency,2023-11-12 15:47:48
223,1633,rider,personal emergency,2023-12-10 22:53:08
224,1634,rider,waited too long,2023-11-29 05:47:39
225,1635,rider,driver too far,2022-01-29 21:35:24
226,1640,rider,price too high,2023-09-30 00:48:20
227,1643,driver,area not safe,2024-04-04 22:32:11
228,1648,rider,duplicate booking,2023-01-11 04:11:02
229,1658,driver,wrong pickup,2023-05-05 18:06:29
230,1661,driver,rider unresponsive,2024-04-29 19:37:50
231,1666,rider,driver too far,2023-01-13 09:46:32
232,1667,driver,system error,2024-04-29 15:42:43
233,1680,rider,waited too long,2022-11-24 11:06:55
234,1694,rider,waited too long,2022-04-04 07:52:07
235,1707,rider,changed my mind,2024-05-31 11:17:18
236,1720,driver,personal emergency,2023-04-26 08:30:25
237,1726,rider,waited too long,2022-05-31 12:32:28
238,1728,rider,too long wait,2024-05-04 14:35:14
239,1733,rider,found another ride,2022-04-03 10:41:39
240,1738,rider,driver too far,2022-02-11 13:09:16
241,1750,rider,changed my mind,2023-06-02 18:26:46
242,1751,rider,found another ride,2023-02-19 19:47:23
243,1780,rider,waited too long,2022-03-12 14:53:54
244,1787,driver,vehicle issue,2024-02-11 19:26:43
245,1791,driver,wrong pickup,2022-09-23 08:21:20
246,1796,driver,rider rating too low,2023-07-18 17:59:00
247,1811,rider,personal emergency,2023-07-18 23:49:22
248,1812,rider,too long wait,2022-07-22 05:50:41
249,1813,rider,too long wait,2023-07-06 14:38:17
250,1822,rider,personal emergency,2022-07-30 00:54:49
251,1823,driver,rider unresponsive,2022-06-12 18:44:14
252,1825,driver,system error,2022-01-26 06:54:25
253,1828,rider,driver too far,2022-12-21 02:27:31
254,1829,rider,found another ride,2022-08-31 11:15:36
255,1832,rider,waited too long,2022-07-08 17:22:18
256,1833,rider,personal emergency,2023-04-21 15:20:12
257,1842,driver,system error,2022-04-14 12:58:59
258,1844,rider,driver too far,2023-08-22 14:48:12
259,1846,rider,too long wait,2024-06-29 23:46:24
260,1856,rider,too long wait,2024-02-06 22:48:09
261,1877,rider,too long wait,2022-07-06 02:38:56
262,1883,driver,system error,2024-03-28 16:16:57
263,1898,driver,area not safe,2023-02-28 09:53:26
264,1899,rider,waited too long,2022-12-29 11:45:32
265,1900,driver,personal emergency,2024-05-03 00:34:25
266,1909,rider,found another ride,2023-02-20 19:28:57
267,1910,rider,personal emergency,2023-05-06 00:49:30
268,1912,rider,price too high,2022-10-16 11:04:39
269,1917,driver,vehicle issue,2024-01-16 19:04:31
270,1923,rider,driver too far,2024-01-21 19:17:46
271,1928,rider,changed my mind,2023-01-09 05:15:11
272,1940,rider,changed my mind,2022-03-08 13:23:53
273,1944,driver,personal emergency,2022-05-01 14:50:09
274,1949,rider,duplicate booking,2023-11-23 23:41:21
275,1951,driver,rider unresponsive,2023-09-24 01:09:36
276,1961,rider,too long wait,2024-01-15 22:45:53
277,1962,driver,system error,2023-08-20 11:04:44
278,1970,rider,changed my mind,2022-03-16 03:22:42
279,1973,rider,too long wait,2024-01-03 17:08:31
280,1984,rider,personal emergency,2023-04-25 14:54:28
281,1994,driver,vehicle issue,2022-02-21 13:21:50
282,2004,driver,vehicle issue,2022-07-21 15:13:41
283,2005,rider,found another ride,2022-02-24 01:17:13
284,2017,driver,rider rating too low,2022-01-09 21:35:21
285,2019,rider,found another ride,2023-03-09 08:41:41
286,2021,rider,driver too far,2024-02-20 08:45:45
287,2027,driver,rider rating too low,2023-10-24 22:01:13
288,2035,rider,too long wait,2024-06-14 07:31:56
289,2047,rider,waited too long,2022-06-17 19:15:31
290,2061,rider,changed my mind,2023-11-25 21:19:43
291,2077,rider,driver too far,2024-03-31 08:25:52
292,2081,driver,personal emergency,2022-01-26 21:16:13
293,2091,rider,personal emergency,2023-05-23 13:29:09
294,2095,rider,found another ride,2023-05-22 16:31:49
295,2098,rider,waited too long,2022-07-02 16:59:28
296,2099,rider,duplicate booking,2023-03-12 01:09:52
297,2109,driver,rider rating too low,2022-07-21 13:30:44
298,2125,rider,too long wait,2022-12-29 23:09:35
299,2128,rider,found another ride,2022-10-09 06:07:36
300,2153,rider,personal emergency,2023-02-24 20:21:57
301,2163,rider,price too high,2023-03-05 19:46:30
302,2184,rider,price too high,2023-11-14 02:13:04
303,2213,rider,duplicate booking,2023-08-10 14:50:43
304,2218,rider,duplicate booking,2024-04-30 00:19:26
305,2219,rider,too long wait,2024-01-19 11:38:39
306,2225,rider,changed my mind,2023-09-04 09:35:42
307,2227,rider,price too high,2023-02-18 10:18:43
308,2232,driver,rider unresponsive,2023-06-20 15:57:55
309,2247,rider,price too high,2023-05-09 13:11:24
310,2260,rider,changed my mind,2022-05-28 17:19:42
311,2266,rider,found another ride,2023-06-20 08:47:50
312,2285,rider,waited too long,2023-10-24 05:43:00
313,2303,driver,vehicle issue,2024-01-13 23:28:09
314,2312,driver,area not safe,2022-06-02 07:24:24
315,2323,rider,duplicate booking,2024-01-19 23:55:26
316,2330,rider,waited too long,2023-02-20 22:24:01
317,2333,rider,driver too far,2022-08-21 05:49:15
318,2335,rider,personal emergency,2023-11-10 16:46:30
319,2338,rider,personal emergency,2023-02-02 21:34:59
320,2340,rider,changed my mind,2023-01-06 10:47:23
321,2341,rider,waited too long,2023-07-28 17:45:04
322,2351,driver,rider unresponsive,2022-03-23 18:27:54
323,2368,rider,price too high,2023-10-29 11:52:04
324,2378,driver,rider unresponsive,2023-04-29 13:19:40
325,2382,rider,too long wait,2022-04-17 21:06:35
326,2385,rider,too long wait,2024-04-11 05:59:39
327,2386,driver,personal emergency,2022-09-21 22:36:12
328,2400,rider,price too high,2022-10-20 06:21:04
329,2406,rider,waited too long,2023-02-02 07:23:24
330,2412,rider,waited too long,2023-09-03 21:20:32
331,2415,driver,rider rating too low,2023-08-15 19:08:59
332,2418,rider,found another ride,2023-03-28 02:38:00
333,2419,rider,price too high,2022-01-14 15:21:08
334,2443,driver,personal emergency,2022-11-17 13:13:11
335,2445,rider,waited too long,2023-05-20 14:14:51
336,2448,rider,duplicate booking,2022-01-11 02:57:42
337,2449,rider,found another ride,2022-11-14 11:34:42
338,2453,rider,found another ride,2023-08-24 06:08:51
339,2459,driver,wrong pickup,2024-03-30 22:57:57
340,2460,rider,too long wait,2023-03-20 16:05:21
341,2469,rider,driver too far,2022-07-05 20:34:54
342,2472,driver,system error,2022-08-09 17:16:21
343,2474,rider,duplicate booking,2022-12-28 09:38:12
344,2479,driver,personal emergency,2022-06-02 22:20:15
345,2489,rider,waited too long,2022-02-10 21:42:39
346,2497,rider,personal emergency,2024-01-18 20:46:24
347,2506,rider,duplicate booking,2022-06-14 17:23:57
348,2511,rider,price too high,2023-02-27 15:20:28
349,2512,driver,rider unresponsive,2023-05-25 08:39:45
350,2520,driver,rider unresponsive,2023-05-16 00:37:53
351,2524,rider,waited too long,2022-02-10 03:32:01
352,2525,driver,rider rating too low,2023-06-19 23:34:02
353,2526,rider,too long wait,2023-08-03 09:04:49
354,2527,rider,found another ride,2022-11-26 12:15:17
355,2540,rider,found another ride,2023-05-09 23:34:02
356,2545,rider,price too high,2023-12-04 16:29:04
357,2548,rider,found another ride,2022-12-03 11:23:06
358,2555,rider,price too high,2022-05-08 13:16:40
359,2556,rider,too long wait,2024-05-30 23:52:45
360,2557,rider,price too high,2024-02-28 20:31:39
361,2564,driver,system error,2024-02-19 13:19:32
362,2567,rider,price too high,2023-08-04 18:43:50
363,2576,rider,personal emergency,2023-08-19 17:18:47
364,2578,driver,system error,2022-07-09 04:07:58
365,2579,driver,rider rating too low,2023-12-19 18:31:29
366,2583,rider,too long wait,2022-01-13 23:40:17
367,2607,rider,driver too far,2024-05-15 03:19:35
368,2609,driver,wrong pickup,2024-01-06 21:51:34
369,2610,rider,changed my mind,2023-01-06 23:05:53
370,2616,rider,found another ride,2022-12-13 01:53:14
371,2627,rider,duplicate booking,2022-05-10 02:27:08
372,2628,driver,area not safe,2024-04-28 02:37:22
373,2637,rider,duplicate booking,2023-04-14 16:05:49
374,2642,driver,personal emergency,2022-02-08 01:43:11
375,2650,rider,personal emergency,2023-11-10 09:52:51
376,2655,driver,vehicle issue,2023-11-02 01:44:26
377,2663,rider,personal emergency,2022-10-18 19:23:27
378,2671,rider,driver too far,2022-03-18 09:04:24
379,2672,rider,driver too far,2022-06-14 08:38:09
380,2676,rider,found another ride,2023-01-21 10:04:34
381,2686,rider,too long wait,2023-02-14 21:27:51
382,2703,rider,found another ride,2023-07-03 03:30:48
383,2714,rider,changed my mind,2023-12-05 23:17:29
384,2723,rider,duplicate booking,2023-06-14 09:29:46
385,2725,rider,waited too long,2023-12-03 15:06:05
386,2747,rider,duplicate booking,2023-05-15 08:22:44
387,2749,rider,changed my mind,2022-12-30 19:49:17
388,2753,rider,price too high,2022-08-08 05:21:49
389,2757,driver,vehicle issue,2023-07-01 11:47:09
390,2769,driver,system error,2024-06-22 18:44:02
391,2774,rider,too long wait,2023-01-21 06:53:29
392,2775,rider,found another ride,2022-07-02 02:30:32
393,2778,rider,waited too long,2023-02-13 00:21:14
394,2784,rider,price too high,2023-08-28 21:23:24
395,2789,rider,found another ride,2023-05-03 00:42:28
396,2794,rider,waited too long,2022-05-06 23:04:03
397,2798,rider,duplicate booking,2022-12-12 08:44:06
398,2814,driver,rider unresponsive,2023-01-01 12:07:52
399,2830,rider,found another ride,2023-03-16 03:34:33
400,2831,rider,too long wait,2023-08-25 22:35:51
401,2838,rider,changed my mind,2023-09-10 05:56:51
402,2852,driver,system error,2022-07-29 10:55:10
403,2862,rider,personal emergency,2023-10-24 10:36:45
404,2863,rider,personal emergency,2023-08-29 10:41:36
405,2866,rider,found another ride,2022-11-24 03:37:00
406,2869,rider,driver too far,2022-02-03 01:06:11
407,2873,rider,waited too long,2023-12-11 03:46:59
408,2874,driver,personal emergency,2023-08-08 01:00:24
409,2875,rider,too long wait,2022-06-29 13:00:46
410,2878,rider,driver too far,2022-04-22 02:06:32
411,2882,rider,personal emergency,2022-07-20 16:30:06
412,2884,rider,price too high,2023-05-02 07:15:58
413,2885,rider,changed my mind,2023-12-04 05:25:55
414,2897,rider,price too high,2022-03-09 18:13:15
415,2898,rider,price too high,2023-01-11 00:25:36
416,2907,rider,duplicate booking,2023-04-12 01:44:06
417,2909,driver,system error,2024-05-30 08:26:41
418,2911,driver,system error,2024-04-26 15:24:04
419,2917,rider,price too high,2022-07-15 17:53:34
420,2921,rider,waited too long,2023-04-04 13:07:01
421,2949,rider,too long wait,2024-06-20 00:25:35
422,2956,rider,price too high,2022-07-09 18:16:43
423,2961,rider,too long wait,2022-12-21 03:27:05
424,2969,rider,duplicate booking,2024-03-10 04:34:51
425,2973,rider,duplicate booking,2022-10-22 00:37:30
426,2978,driver,personal emergency,2022-10-16 21:58:01
427,2982,rider,waited too long,2022-03-18 16:22:08
428,2983,rider,duplicate booking,2022-11-01 22:42:56
429,2986,rider,changed my mind,2022-05-16 12:21:55
430,2988,rider,changed my mind,2024-06-21 10:09:36
431,2989,rider,personal emergency,2022-01-12 03:46:31
432,2990,rider,driver too far,2023-11-15 05:30:11
433,3001,rider,driver too far,2022-03-08 22:08:21
434,3015,driver,rider unresponsive,2023-07-29 02:47:32
435,3016,rider,personal emergency,2023-02-01 03:32:01
436,3030,rider,changed my mind,2022-02-01 05:57:30
437,3033,rider,found another ride,2024-05-11 13:10:07
438,3041,rider,waited too long,2022-08-13 01:56:04
439,3045,rider,driver too far,2022-08-01 05:42:10
440,3067,rider,personal emergency,2022-06-27 11:14:26
441,3073,rider,waited too long,2022-02-09 07:00:07
442,3075,driver,personal emergency,2023-12-11 22:52:04
443,3076,rider,waited too long,2023-05-24 13:51:02
444,3077,rider,waited too long,2023-09-29 14:08:27
445,3081,rider,duplicate booking,2023-07-15 20:53:23
446,3091,rider,too long wait,2022-11-26 18:01:04
447,3098,driver,rider unresponsive,2023-12-20 09:34:28
448,3102,rider,personal emergency,2022-12-15 17:58:16
449,3108,driver,wrong pickup,2024-05-09 22:28:38
450,3116,rider,found another ride,2024-06-17 07:34:35
451,3118,driver,personal emergency,2023-04-17 23:40:52
452,3119,rider,too long wait,2023-04-13 17:18:19
453,3120,rider,duplicate booking,2022-01-29 10:16:51
454,3122,driver,wrong pickup,2023-11-26 04:01:54
455,3136,rider,found another ride,2023-11-09 00:46:02
456,3173,rider,personal emergency,2023-10-14 03:54:46
457,3179,rider,price too high,2022-05-03 02:03:40
458,3216,rider,personal emergency,2023-08-03 14:05:47
459,3225,driver,wrong pickup,2023-06-20 21:04:03
460,3226,driver,system error,2022-06-30 04:35:06
461,3228,rider,waited too long,2023-02-22 11:50:05
462,3238,driver,wrong pickup,2024-04-24 08:38:29
463,3239,rider,driver too far,2022-09-13 08:30:33
464,3245,rider,driver too far,2023-05-17 00:56:38
465,3261,driver,vehicle issue,2022-08-01 08:44:18
466,3266,rider,found another ride,2023-03-29 20:30:05
467,3269,driver,personal emergency,2022-03-17 17:54:13
468,3273,driver,area not safe,2023-07-17 23:09:29
469,3282,rider,too long wait,2024-02-27 16:32:58
470,3287,rider,too long wait,2022-07-30 19:09:54
471,3292,driver,wrong pickup,2022-08-05 22:51:24
472,3296,rider,duplicate booking,2024-06-23 09:26:58
473,3301,driver,system error,2023-12-25 07:04:09
474,3304,rider,driver too far,2024-06-03 08:03:13
475,3307,rider,duplicate booking,2023-05-26 14:03:50
476,3313,rider,duplicate booking,2023-08-25 00:25:06
477,3315,rider,waited too long,2023-08-21 04:50:41
478,3325,rider,personal emergency,2023-12-13 12:24:05
479,3332,rider,waited too long,2023-03-02 22:35:00
480,3334,driver,rider rating too low,2022-08-04 12:57:03
481,3338,rider,price too high,2022-09-19 06:54:58
482,3340,rider,changed my mind,2023-02-14 08:35:44
483,3352,rider,too long wait,2023-03-07 10:14:41
484,3364,driver,personal emergency,2023-03-17 16:56:55
485,3366,rider,too long wait,2023-03-31 21:30:55
486,3372,rider,driver too far,2023-11-05 05:30:34
487,3379,rider,found another ride,2022-10-05 00:54:45
488,3382,rider,driver too far,2023-03-04 16:37:18
489,3387,rider,price too high,2023-09-08 23:42:09
490,3397,rider,personal emergency,2024-02-09 16:32:25
491,3400,driver,area not safe,2024-01-03 21:19:44
492,3412,rider,found another ride,2022-08-15 23:48:19
493,3414,rider,driver too far,2023-02-24 08:28:33
494,3416,rider,changed my mind,2024-02-20 19:59:28
495,3417,driver,rider rating too low,2023-05-22 01:35:48
496,3424,rider,waited too long,2023-05-18 05:01:10
497,3426,rider,personal emergency,2022-01-19 19:18:14
498,3446,rider,changed my mind,2022-03-05 08:19:16
499,3453,rider,personal emergency,2024-02-09 16:49:43
500,3456,rider,duplicate booking,2024-03-29 19:39:38
501,3458,driver,system error,2023-01-27 02:21:36
502,3462,driver,rider unresponsive,2023-10-13 13:20:56
503,3466,driver,personal emergency,2023-06-28 22:31:04
504,3467,rider,too long wait,2023-09-23 08:40:59
505,3474,rider,too long wait,2023-05-19 16:14:39
506,3477,rider,duplicate booking,2023-04-29 23:13:59
507,3480,rider,found another ride,2022-02-03 14:39:26
508,3483,rider,personal emergency,2023-06-14 22:04:59
509,3486,rider,price too high,2023-07-30 10:48:00
510,3496,driver,vehicle issue,2023-07-09 17:10:07
511,3500,rider,driver too far,2022-04-02 02:43:03
512,3503,rider,price too high,2024-03-09 17:08:23
513,3505,rider,price too high,2024-06-21 11:18:50
514,3507,rider,waited too long,2023-12-11 03:17:45
515,3510,rider,duplicate booking,2023-05-12 21:26:26
516,3511,rider,waited too long,2023-12-31 15:13:17
517,3521,driver,rider rating too low,2022-10-30 09:23:09
518,3522,rider,duplicate booking,2024-02-18 06:41:02
519,3530,rider,personal emergency,2023-08-05 12:04:42
520,3531,driver,vehicle issue,2022-12-15 16:38:52
521,3538,rider,duplicate booking,2022-08-19 13:36:29
522,3541,rider,found another ride,2022-10-20 15:59:59
523,3545,rider,found another ride,2023-09-02 19:53:34
524,3547,rider,driver too far,2023-05-18 19:20:43
525,3549,rider,price too high,2022-06-27 01:08:27
526,3550,rider,changed my mind,2024-03-21 14:55:09
527,3558,rider,changed my mind,2023-05-12 15:07:39
528,3574,rider,personal emergency,2024-06-21 11:55:39
529,3598,driver,rider rating too low,2022-02-13 21:45:49
530,3600,driver,system error,2023-03-28 15:47:54
